Artificial Analysis Model Benchmarks Data,,,,,,,
,,,,,,,
Model Name,Model Slug,Release Date,Model Creator Name,Artificial Analysis Intelligence Index,Artificial Analysis Coding Index,Artificial Analysis Agentic Index,Intelligence Index Cost (USD)
gpt-oss-120b (high),gpt-oss-120b,2025-08-05,OpenAI,33.2657,28.6195,37.8733,67.3659
gpt-oss-20B (low),gpt-oss-20b-low,2025-08-05,OpenAI,20.7852,14.3729,21.8627,7.6768
gpt-oss-120b (low),gpt-oss-120b-low,2025-08-05,OpenAI,24.4666,15.5338,28.0382,15.8962
GPT-5.4 mini (medium),gpt-5-4-mini-medium,2026-03-17,OpenAI,37.7279,37.4649,40.2666,302.2914
gpt-oss-20B (high),gpt-oss-20b,2025-08-05,OpenAI,24.4696,18.529,27.596,19.2152
Grok-1,grok-1,2024-03-17,xAI,11.6902,,,
GPT-5.4 mini (xhigh),gpt-5-4-mini,2026-03-17,OpenAI,48.9037,51.4766,58.8786,1353.8664
GPT-5.4 nano (xhigh),gpt-5-4-nano,2026-03-17,OpenAI,43.9769,43.9078,47.6017,363.2685
o3,o3,2025-04-16,OpenAI,38.374,38.4049,36.0909,1025.332
GPT-5.5 (xhigh),gpt-5-5,2026-04-23,OpenAI,60.2376,59.1155,74.123,3357.0047
GPT-5.5 Instant (May 2026),gpt-5-5-instant-05-26,2026-05-05,OpenAI,41.7866,45.0652,38.0772,368.2912
GPT-5.5 (low),gpt-5-5-low,2026-04-23,OpenAI,50.7794,52.0553,59.6883,500.6733
GPT-5.4 nano,gpt-5-4-nano-non-reasoning,2026-03-17,OpenAI,24.3621,27.89,25.9206,23.5509
GPT-5.5 (high),gpt-5-5-high,2026-04-23,OpenAI,58.8681,58.5332,71.9538,2159.3806
GPT-5.4 mini,gpt-5-4-mini-non-reasoning,2026-03-17,OpenAI,23.279,25.3157,25.0051,56.3582
GPT-5.4 nano,gpt-5-4-nano-medium,2026-03-17,OpenAI,38.1081,35.0309,41.6443,90.567
GPT-5.5 (Non-reasoning),gpt-5-5-non-reasoning,2026-04-23,OpenAI,40.9367,48.6076,50.2384,360.6916
GPT-5.5 (medium),gpt-5-5-medium,2026-04-23,OpenAI,56.711,56.2079,69.3933,1199.1411
GPT-5.3 Codex (xhigh),gpt-5-3-codex,2026-02-05,OpenAI,53.5605,53.1004,60.5351,1571.5554
Llama 3.3 70B,llama-3-3-instruct-70b,2024-12-06,Meta,14.4886,10.7008,9.0873,85.5443
Llama 3.1 405B,llama-3-1-instruct-405b,2024-07-23,Meta,17.377,14.4992,6.3353,838.0486
Llama 3.2 90B (Vision),llama-3-2-instruct-90b-vision,2024-09-25,Meta,11.9013,,,
Llama 3.2 11B (Vision),llama-3-2-instruct-11b-vision,2024-09-25,Meta,8.7268,4.2473,4.8733,
Llama 4 Maverick,llama-4-maverick,2025-04-05,Meta,18.365,15.5794,7.2233,62.2819
Llama 4 Scout,llama-4-scout,2025-04-05,Meta,13.5176,6.6814,5.1657,26.4227
Muse Spark,muse-spark,2026-04-08,Meta,52.1537,47.4712,61.9892,0.0
Gemma 4 31B,gemma-4-31b,2026-04-02,Google,39.183,38.71,40.9425,0.0
Gemma 4 26B A4B,gemma-4-26b-a4b,2026-04-02,Google,31.215,22.4421,32.1495,41.5105
Gemma 4 26B A4B,gemma-4-26b-a4b-non-reasoning,2026-04-02,Google,27.0858,29.0895,28.9268,27.2504
Gemini 3.5 Flash (minimal),gemini-3-5-flash-minimal,2026-05-19,Google,43.3108,47.0889,50.9575,749.7231
Gemma 4 31B,gemma-4-31b-non-reasoning,2026-04-02,Google,32.2911,33.898,39.3851,19.4332
Gemini 3.5 Flash (medium),gemini-3-5-flash-medium,2026-05-19,Google,54.7833,43.9324,70.4318,1417.4857
Gemma 4 E2B,gemma-4-e2b-non-reasoning,2026-04-02,Google,12.098,8.3053,7.4074,0.0
Gemma 4 E4B,gemma-4-e4b,2026-04-03,Google,18.7616,13.696,6.9201,0.0
Gemma 4 E4B,gemma-4-e4b-non-reasoning,2026-04-03,Google,14.8339,6.3622,8.6745,0.0
Gemini 3.1 Flash-Lite,gemini-3-1-flash-lite-preview,2026-03-03,Google,33.5181,30.1277,25.6655,93.6011
Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,2026-02-19,Google,57.1755,55.4959,59.086,892.2838
Gemini 3.5 Flash,gemini-3-5-flash,2026-05-19,Google,55.329,44.9811,70.2973,1551.6045
Gemma 3 270M,gemma-3-270m,2025-08-14,Google,7.7101,0.0,3.0214,
Gemini 2.5 Pro,gemini-2-5-pro,2025-06-05,Google,34.6276,31.9515,32.6803,648.3155
Gemma 4 E2B,gemma-4-e2b,2026-04-02,Google,15.2137,9.0032,6.9201,0.0
Claude Opus 4.7 (max),claude-opus-4-7,2026-04-16,Anthropic,57.2775,52.5147,71.2882,5117.1422
Claude Opus 4.8 (max),claude-opus-4-8,2026-05-28,Anthropic,61.4409,56.713,77.8083,4685.8505
Claude Sonnet 4.6 (Non-reasoning),claude-sonnet-4-6,2026-02-17,Anthropic,44.3845,46.4331,61.6212,1694.1935
"Claude Opus 4.7 (Non-reasoning, high)",claude-opus-4-7-non-reasoning,2026-04-16,Anthropic,51.8214,53.0689,64.6382,1217.2276
Claude 4.5 Haiku,claude-4-5-haiku-reasoning,2025-10-15,Anthropic,37.0918,32.6108,40.1632,619.6885
Claude 4.5 Haiku,claude-4-5-haiku,2025-10-15,Anthropic,31.0484,29.6402,32.5943,246.0135
Claude Sonnet 4.6 (max),claude-sonnet-4-6-adaptive,2026-02-17,Anthropic,51.7187,50.94,62.9992,4206.105
"Claude Sonnet 4.6 (Non-reasoning, Low Effort)",claude-sonnet-4-6-non-reasoning-low-effort,2026-02-17,Anthropic,42.6011,42.9819,57.4547,665.9955
Magistral Small 1.2,magistral-small-2509,2025-09-17,Mistral,18.1585,14.7587,17.3344,89.8345
Ministral 3 14B,ministral-3-14b,2025-12-02,Mistral,15.9834,10.9007,17.3912,23.1916
Ministral 3 8B,ministral-3-8b,2025-12-02,Mistral,14.841,9.9747,16.6569,21.4495
Mistral Large 3,mistral-large-3,2025-12-02,Mistral,22.8048,22.6817,21.6967,38.6737
Mistral Small 4,mistral-small-4-non-reasoning,2026-03-16,Mistral,18.6243,16.4457,18.5542,16.3655
Mistral Medium 3.5,mistral-medium-3-5,2026-04-29,Mistral,39.2258,35.4167,53.1604,1000.9537
Devstral Small 2,devstral-small-2,2025-12-09,Mistral,19.4672,20.7176,20.7857,0.0
Magistral Medium 1.2,magistral-medium-2509,2025-09-18,Mistral,27.1041,21.6646,24.4538,387.0984
Mistral Small 4,mistral-small-4,2026-03-16,Mistral,27.8035,24.2705,25.8653,47.8847
Ministral 3 3B,ministral-3-3b,2025-12-02,Mistral,11.2394,4.784,11.4439,15.9314
