slug,model,variant_group,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,instruction-context_core,instruction-context_bonus,instruction-context_score,score,core_only_score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,Terminal-Bench v4.0,52.0202,52.0202,52.0202,3.3005712300467422,55.320771230046745,59.3759,9.804041240656698,69.1799412406567,74.44850553986964,0.0,74.44850553986964,79.38686752492505,0.0,79.38686752492505,85.3333,0.0,85.3333,72.73387710709963,70.11295461295893,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,Terminal-Bench v4.0,59.0909,59.0909,59.090900000000005,0.0,59.090900000000005,68.4917,0.0,68.4917,72.47497793155925,0.0,72.47497793155925,77.54607378842593,0.0,77.54607378842593,80.6667,0.0,80.6667,71.65407034399703,71.65407034399703,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,Terminal-Bench v4.0,42.4242,42.4242,42.4242,6.1942791746735395,48.61847917467354,54.0713,10.315383036956547,64.38668303695655,71.67841800988636,0.0,71.67841800988636,77.80185540846696,0.0,77.80185540846696,82.3333,0.0,82.3333,68.96374712599669,65.66181468367066,3
claude-opus-5,Claude Opus 5 (max),claude opus 5,Terminal-Bench v4.0,48.9899,48.9899,48.9899,2.5933143714184297,51.58321437141843,56.5736,8.702057565507697,65.2756575655077,71.52094853174138,0.0,71.52094853174138,75.3308863243358,0.0,75.3308863243358,79.3333,0.0,79.3333,68.60880135860066,66.34972697121543,4
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,Terminal-Bench v4.0,39.899,39.899,39.899,0.0,39.899,60.0811,0.5155304100803662,60.596630410080365,68.25749869735925,0.0,68.25749869735925,74.77967076686016,0.0,74.77967076686016,84.0,0.0,84.0,65.50655997485995,65.40345389284388,5
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,Terminal-Bench v4.0,33.3333,33.3333,33.3333,0.0,33.3333,57.8534,8.006588076441808,65.85998807644181,67.49376133021481,0.0,67.49376133021481,63.848111944050466,0.0,63.848111944050466,83.0,0.0,83.0,62.70703227014142,61.10571465485305,6
glm-5-3,GLM-5.3 (max),glm 5 3,Terminal-Bench v4.0,41.9192,41.9192,41.9192,0.0,41.9192,62.20289999999999,5.272756972923798,67.47565697292379,62.25831089967026,0.0,62.25831089967026,55.71918179585914,0.0,55.71918179585914,79.6667,0.0,79.6667,61.407809933690636,60.35325853910588,7
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,Terminal-Bench v4.0,35.3535,35.3535,35.3535,0.0,35.3535,59.650000000000006,0.0,59.650000000000006,63.010077571210786,0.0,63.010077571210786,65.80413391269579,0.0,65.80413391269579,83.0,0.0,83.0,61.36354229678132,61.36354229678132,8
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,Terminal-Bench v4.0,19.697,19.697,19.697,0.0,19.697,59.93010000000001,1.2226181362645718,61.15271813626458,67.49203345766077,0.0,67.49203345766077,72.11647869939297,0.0,72.11647869939297,81.3333,0.0,81.3333,60.35830605866366,60.113782431410755,9
gemini-3-7-flash,Gemini 3.7 Flash (high),gemini 3 7 flash,Terminal-Bench v4.0,13.6364,13.6364,13.636400000000004,0.0,13.636400000000004,62.0275,0.0,62.0275,67.27363385606579,0.0,67.27363385606579,72.31835907879824,0.0,72.31835907879824,81.6667,0.0,81.6667,59.3845185869728,59.3845185869728,10
