slug,model,variant_group,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,instruction-context_core,instruction-context_bonus,instruction-context_score,score,core_only_score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,Terminal-Bench v4.0,52.0202,52.0202,52.0202,10.387202700047993,62.407402700047996,47.2165,7.735504906572432,54.952004906572434,74.44850553986964,0.0,74.44850553986964,79.38686752492505,0.0,79.38686752492505,85.3333,0.0,85.3333,71.30561613428301,67.68107461295894,1
claude-opus-5,Claude Opus 5 (max),claude opus 5,Terminal-Bench v4.0,48.9899,48.9899,48.9899,8.837346424326327,57.827246424326326,42.0619,8.329482848596754,50.391382848596756,71.52094853174138,0.0,71.52094853174138,75.3308863243358,0.0,75.3308863243358,79.3333,0.0,79.3333,66.88075282580004,63.44738697121544,2
qwen3-8-flash-next,Qwen3.8-Flash-Next,qwen3 8 flash next,Terminal-Bench v2.1,86.1423,81.835185,81.835185,9.564250457079183,91.39943545707918,45.3608,0.0,45.3608,59.26541978590888,0.0,59.26541978590888,47.5596299396873,11.04722357621479,58.60685351590209,79.6667,0.0,79.6667,66.85984175177803,62.737546945119234,3
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,Terminal-Bench v4.0,42.4242,42.4242,42.4242,10.61266525430824,53.03686525430824,38.1443,11.15345668992243,49.29775668992243,71.67841800988636,0.0,71.67841800988636,77.80185540846696,0.0,77.80185540846696,82.3333,0.0,82.3333,66.82963907251678,62.47641468367066,4
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,Terminal-Bench v4.0,59.0909,59.0909,59.090900000000005,0.0,59.090900000000005,41.4433,0.0,41.4433,72.47497793155925,0.0,72.47497793155925,77.54607378842593,0.0,77.54607378842593,80.6667,0.0,80.6667,66.24439034399704,66.24439034399704,5
gpt-5-4,GPT-5.4 (xhigh),gpt 5 4,Terminal-Bench v2.1,78.2772,74.36334,74.36334,0.0,74.36334,39.5876,0.0,39.5876,63.44564628751132,0.0,63.44564628751132,68.40487679983059,0.0,68.40487679983059,82.0,0.0,82.0,65.56029261746838,65.56029261746838,6
claude-opus-4-7,Claude Opus 4.7 (max),claude opus 4 7,Terminal-Bench v2.1,83.1461,78.988795,78.988795,0.0,78.988795,34.63920000000001,0.0,34.63920000000001,62.18939072357921,0.0,62.18939072357921,66.84775893423803,0.0,66.84775893423803,78.6667,0.0,78.6667,64.26636893156345,64.26636893156345,7
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,Terminal-Bench v4.0,39.899,39.899,39.899,0.0,39.899,44.3299,0.0,44.3299,68.25749869735925,0.0,68.25749869735925,74.77967076686016,0.0,74.77967076686016,84.0,0.0,84.0,62.25321389284389,62.25321389284389,8
kimi-k2-6,Kimi K2.6,kimi k2 6,Terminal-Bench v2.1,65.9176,62.62171999999999,62.62171999999999,0.0,62.62171999999999,23.299000000000003,14.802940213899547,38.10194021389955,58.44321484347006,0.0,58.44321484347006,54.499741834250926,5.432841606635137,59.93258344088606,81.0,0.0,81.0,60.019891699651126,55.9727353355442,9
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,Terminal-Bench v4.0,33.3333,33.3333,33.3333,0.0,33.3333,50.5155,0.0,50.5155,67.49376133021481,0.0,67.49376133021481,63.848111944050466,0.0,63.848111944050466,83.0,0.0,83.0,59.638134654853054,59.638134654853054,10
agnes-2-5-pro-beta,Agnes 2.5 Pro Beta,agnes 2 5 pro beta,Terminal-Bench v2.1,69.6629,66.17975499999999,66.17975499999999,0.0,66.17975499999999,35.6701,0.0,35.6701,58.28456766143161,0.0,58.28456766143161,38.95474117703775,13.171415153145468,52.126156330183214,83.0,0.0,83.0,59.052115798322966,56.41783276769387,11
glm-5-2,GLM-5.2 (max),glm 5 2,Terminal-Bench v2.1,77.9026,74.00747,74.00747,0.0,74.00747,34.63920000000001,0.0,34.63920000000001,60.6847883664432,0.0,60.6847883664432,46.66590029314767,0.0,46.66590029314767,78.3333,0.0,78.3333,58.86613173191818,58.86613173191818,12
glm-5-3,GLM-5.3 (max),glm 5 3,Terminal-Bench v4.0,41.9192,41.9192,41.9192,0.0,41.9192,50.3093,1.974007029252462,52.28330702925246,62.25831089967026,0.0,62.25831089967026,55.71918179585914,0.0,55.71918179585914,79.6667,0.0,79.6667,58.36933994495637,57.97453853910588,13
apodex-1-1,Apodex 1.1,apodex 1 1,Terminal-Bench v2.1,69.6629,66.17975499999999,66.17975499999999,0.0,66.17975499999999,25.1546,5.844368615135306,30.998968615135304,54.23544746270653,0.0,54.23544746270653,52.30950055085596,6.9036052340542255,59.213105784910184,79.3333,0.0,79.3333,57.9921153725504,55.44252060271249,14
motif-3,Motif 3,motif 3,Terminal-Bench v2.1,74.9064,71.16108,71.16108,0.0,71.16108,35.2577,0.0,35.2577,55.54540439505325,0.0,55.54540439505325,50.085866946774516,0.0,50.085866946774516,76.0,0.0,76.0,57.610010268365556,57.610010268365556,15
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,Terminal-Bench v4.0,35.3535,35.3535,35.3535,0.0,35.3535,40.2062,0.0,40.2062,63.010077571210786,0.0,63.010077571210786,65.80413391269579,0.0,65.80413391269579,83.0,0.0,83.0,57.47478229678132,57.47478229678132,16
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,Terminal-Bench v4.0,19.697,19.697,19.697,0.0,19.697,44.9485,0.0,44.9485,67.49203345766077,0.0,67.49203345766077,72.11647869939297,0.0,72.11647869939297,81.3333,0.0,81.3333,57.11746243141074,57.11746243141074,17
