slug,model,variant_group,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,instruction-context_core,instruction-context_bonus,instruction-context_score,score,core_only_score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,Terminal-Bench v4.0,52.0202,52.0202,52.0202,10.387202700047993,62.407402700047996,59.3759,9.805322741870091,69.18122274187009,74.44850553986964,0.0,74.44850553986964,79.38686752492505,0.0,79.38686752492505,85.3333,0.0,85.3333,74.15145970134256,70.11295461295893,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,Terminal-Bench v4.0,59.0909,59.0909,59.090900000000005,0.0,59.090900000000005,68.4917,0.0,68.4917,72.47497793155925,0.0,72.47497793155925,77.54607378842593,0.0,77.54607378842593,80.6667,0.0,80.6667,71.65407034399703,71.65407034399703,2
claude-opus-5,Claude Opus 5 (max),claude opus 5,Terminal-Bench v4.0,48.9899,48.9899,48.9899,8.837346424326327,57.827246424326326,56.5736,8.702165970733557,65.27576597073356,71.52094853174138,0.0,71.52094853174138,75.3308863243358,0.0,75.3308863243358,79.3333,0.0,79.3333,69.8576294502274,66.34972697121543,3
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,Terminal-Bench v4.0,42.4242,42.4242,42.4242,10.61266525430824,53.03686525430824,54.0713,10.315383036956547,64.38668303695655,71.67841800988636,0.0,71.67841800988636,77.80185540846696,0.0,77.80185540846696,82.3333,0.0,82.3333,69.84742434192361,65.66181468367066,4
qwen3-8-flash-next,Qwen3.8-Flash-Next,qwen3 8 flash next,Terminal-Bench v2.1,86.1423,81.835185,81.835185,0.0,81.835185,55.9083,4.380181238721562,60.28848123872156,59.26541978590888,0.0,59.26541978590888,47.5596299396873,10.586428301891516,58.146058241578814,79.6667,0.0,79.6667,67.84036885324186,64.84704694511923,5
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,Terminal-Bench v4.0,39.899,39.899,39.899,0.0,39.899,60.0811,0.9336403200038106,61.01474032000381,68.25749869735925,0.0,68.25749869735925,74.77967076686016,0.0,74.77967076686016,84.0,0.0,84.0,65.59018195684465,65.40345389284388,6
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,Terminal-Bench v4.0,33.3333,33.3333,33.3333,0.0,33.3333,57.8534,8.408859586354353,66.26225958635436,67.49376133021481,0.0,67.49376133021481,63.848111944050466,0.0,63.848111944050466,83.0,0.0,83.0,62.787486572123925,61.10571465485305,7
glm-5-3,GLM-5.3 (max),glm 5 3,Terminal-Bench v4.0,41.9192,41.9192,41.9192,0.0,41.9192,62.20289999999999,5.69854139360744,67.90144139360743,62.25831089967026,0.0,62.25831089967026,55.71918179585914,0.0,55.71918179585914,79.6667,0.0,79.6667,61.492966817827366,60.35325853910588,8
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,Terminal-Bench v4.0,35.3535,35.3535,35.3535,0.0,35.3535,59.650000000000006,0.0,59.650000000000006,63.010077571210786,0.0,63.010077571210786,65.80413391269579,0.0,65.80413391269579,83.0,0.0,83.0,61.36354229678132,61.36354229678132,9
glm-5-2,GLM-5.2 (max),glm 5 2,Terminal-Bench v2.1,77.9026,74.00747,74.00747,0.0,74.00747,28.399,17.237694649815005,45.636694649815006,60.6847883664432,0.0,60.6847883664432,46.66590029314767,0.0,46.66590029314767,78.3333,0.0,78.3333,61.06563066188118,57.61809173191818,10
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,Terminal-Bench v4.0,19.697,19.697,19.697,0.0,19.697,59.93010000000001,1.6396544732645353,61.569754473264545,67.49203345766077,0.0,67.49203345766077,72.11647869939297,0.0,72.11647869939297,81.3333,0.0,81.3333,60.44171332606365,60.113782431410755,11
kimi-k2-6,Kimi K2.6,kimi k2 6,Terminal-Bench v2.1,65.9176,62.62171999999999,62.62171999999999,0.0,62.62171999999999,13.020799999999996,25.37582004706455,38.396620047064545,58.44321484347006,0.0,58.44321484347006,54.499741834250926,5.277899587431861,59.77764142168279,81.0,0.0,81.0,60.047839262443475,53.91709533554419,12
gemini-3-7-flash,Gemini 3.7 Flash (high),gemini 3 7 flash,Terminal-Bench v4.0,13.6364,13.6364,13.636400000000004,0.0,13.636400000000004,62.0275,0.0,62.0275,67.27363385606579,0.0,67.27363385606579,72.31835907879824,0.0,72.31835907879824,81.6667,0.0,81.6667,59.3845185869728,59.3845185869728,13
kimi-k3,Kimi K3 (max),kimi k3,Terminal-Bench v4.0,12.6263,12.6263,12.626299999999999,0.0,12.626299999999999,58.27300000000001,3.629852442591414,61.902852442591424,66.22968098685061,0.0,66.22968098685061,66.71373920580378,0.0,66.71373920580378,88.6667,0.0,88.6667,59.22785452704916,58.501884038530875,14
grok-4-6-xhigh,Grok 4.6 (xhigh),grok 4 6,Terminal-Bench v4.0,17.1717,17.1717,17.1717,0.0,17.1717,66.9974,0.0,66.9974,64.20260219368059,0.0,64.20260219368059,63.41941500833952,0.0,63.41941500833952,81.0,0.0,81.0,58.55822344040402,58.55822344040402,15
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,Terminal-Bench v4.0,14.6465,14.6465,14.646499999999998,0.0,14.646499999999998,47.3006,3.2210580853166433,50.521658085316645,65.43959483172247,0.0,65.43959483172247,73.6232057845894,0.0,73.6232057845894,84.3333,0.0,84.3333,57.7128517403257,57.06864012326237,16
glm-5-3-flash,GLM-5.3-Flash,glm 5 3 flash,Terminal-Bench v4.0,32.8283,32.8283,32.8283,0.0,32.8283,60.36860000000001,3.6538060878020886,64.0224060878021,60.29060661139511,0.0,60.29060661139511,50.083258180753376,0.0,50.083258180753376,80.0,0.0,80.0,57.444914175990114,56.7141529584297,17
qwen3-8-max,Qwen3.8 Max,qwen3 8 max,Terminal-Bench v4.0,18.6869,18.6869,18.6869,0.0,18.6869,49.2321,14.224444616200358,63.45654461620036,63.1809054258484,0.0,63.1809054258484,54.34486640888907,8.33523558171187,62.68010199060094,78.3333,0.0,78.3333,57.26755040652994,52.75561436694749,18
nex-n2-pro,Nex-N2-Pro,nex n2 pro,Terminal-Bench v2.1,67.7903,64.400785,64.400785,0.0,64.400785,17.6291,11.427062274683365,29.056162274683366,54.85325721696024,0.0,54.85325721696024,55.72582547374242,0.0,55.72582547374242,81.6667,0.0,81.6667,57.140545993077204,54.85513353814053,19
deepseek-v4-pro,DeepSeek V4 Pro 0813 (max),deepseek v4 pro 0813,Terminal-Bench v4.0,14.1414,14.1414,14.141400000000004,0.0,14.141400000000004,56.7117,1.2958984828709816,58.00759848287098,61.70013896791481,0.0,61.70013896791481,67.51199545266012,0.0,67.51199545266012,80.3333,0.0,80.3333,56.338886580689184,56.079706884114984,20
grok-4-5,Grok 4.5 (high),grok 4 5,Terminal-Bench v4.0,10.6061,10.6061,10.606100000000003,0.0,10.606100000000003,57.9349,0.0,57.9349,63.045181210937926,0.0,63.045181210937926,69.2886607966989,0.0,69.2886607966989,79.3333,0.0,79.3333,56.04162840152736,56.04162840152736,21
claude-opus-4-8,Claude Opus 4.8 (max),claude opus 4 8,Terminal-Bench v4.0,21.7172,21.7172,21.717199999999995,0.0,21.717199999999995,45.5934,0.0,45.5934,66.91302754501548,0.0,66.91302754501548,67.03469275427464,0.0,67.03469275427464,77.6667,0.0,77.6667,55.78500405985803,55.78500405985803,22
glm-5-1,GLM-5.1,glm 5 1,Terminal-Bench v2.1,61.7978,58.70791,58.70791,0.0,58.70791,20.308399999999995,24.58985582261988,44.89825582261987,51.082878604969004,0.0,51.082878604969004,45.34748603836821,0.0,45.34748603836821,73.6667,0.0,73.6667,54.740646093191415,49.82267492866744,23
qwen3-8-2-4t-a95b,Qwen3.8 2.4T A95B,qwen3 8 2 4t a95b,Terminal-Bench v4.0,11.1111,11.1111,11.111100000000002,0.0,11.111100000000002,57.247400000000006,7.316374002751722,64.56377400275173,63.01007112501937,0.0,63.01007112501937,54.06460256027042,0.0,54.06460256027042,80.3333,0.0,80.3333,54.6165695376083,53.15329473705796,24
gemini-3-6-flash,Gemini 3.6 Flash,gemini 3 6 flash,Terminal-Bench v4.0,7.0707,7.0707,7.0707,0.0,7.0707,53.01670000000001,0.0,53.01670000000001,61.560513170700595,0.0,61.560513170700595,68.10524074995992,0.0,68.10524074995992,80.0,0.0,80.0,53.9506307841321,53.9506307841321,25
gpt-5-6-luna,GPT-5.6 Luna (max),gpt 5 6 luna,Terminal-Bench v4.0,11.6162,11.6162,11.616199999999996,0.0,11.616199999999996,50.20859999999999,0.0,50.20859999999999,59.97630648097629,0.0,59.97630648097629,62.39774010034338,0.0,62.39774010034338,83.6667,0.0,83.6667,53.57310931626394,53.57310931626394,26
