slug,model,variant_group,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,instruction-context_core,instruction-context_bonus,instruction-context_score,score,core_only_score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,Terminal-Bench v4.0,52.0202,52.0202,52.0202,10.387202700047993,62.407402700047996,59.3759,9.804041240656698,69.1799412406567,74.44850553986964,0.0,74.44850553986964,79.38686752492505,0.0,79.38686752492505,47.28353265144219,0.0,47.28353265144219,66.54124993138832,62.503001143247374,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,Terminal-Bench v4.0,59.0909,59.0909,59.090900000000005,0.0,59.090900000000005,68.4917,0.0,68.4917,72.47497793155925,0.0,72.47497793155925,77.54607378842593,0.0,77.54607378842593,50.00667655423624,0.0,50.00667655423624,65.52206565484428,65.52206565484428,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,Terminal-Bench v4.0,42.4242,42.4242,42.4242,10.61266525430824,53.03686525430824,54.0713,10.315383036956547,64.38668303695655,71.67841800988636,0.0,71.67841800988636,77.80185540846696,0.0,77.80185540846696,44.45221254335941,0.0,44.45221254335941,62.271206850595505,58.08559719234255,3
claude-opus-5,Claude Opus 5 (max),claude opus 5,Terminal-Bench v4.0,48.9899,48.9899,48.9899,8.837346424326327,57.827246424326326,56.5736,8.702057565507697,65.2756575655077,71.52094853174138,0.0,71.52094853174138,75.3308863243358,0.0,75.3308863243358,41.39564324901837,0.0,41.39564324901837,62.27007641898591,58.7621956210191,4
qwen3-8-flash-next,Qwen3.8-Flash-Next,qwen3 8 flash next,Terminal-Bench v2.1,86.1423,81.835185,81.835185,0.0,81.835185,55.9083,3.9917389122094775,59.900038912209475,59.26541978590888,0.0,59.26541978590888,47.5596299396873,10.558635479453244,58.11826541914054,35.25337600854704,0.0,35.25337600854704,58.87445702516119,55.96438214682864,5
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,Terminal-Bench v4.0,39.899,39.899,39.899,0.0,39.899,60.0811,0.5155304100803662,60.596630410080365,68.25749869735925,0.0,68.25749869735925,74.77967076686016,0.0,74.77967076686016,47.7995815881269,0.0,47.7995815881269,58.266476292485336,58.16337021046927,6
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,Terminal-Bench v4.0,33.3333,33.3333,33.3333,0.0,33.3333,57.8534,8.006588076441808,65.85998807644181,67.49376133021481,0.0,67.49376133021481,63.848111944050466,0.0,63.848111944050466,46.98723230836224,0.0,46.98723230836224,55.50447873181386,53.903161116525496,7
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,Terminal-Bench v4.0,35.3535,35.3535,35.3535,0.0,35.3535,59.650000000000006,0.0,59.650000000000006,63.010077571210786,0.0,63.010077571210786,65.80413391269579,0.0,65.80413391269579,44.631827208842786,0.0,44.631827208842786,53.68990773854988,53.68990773854988,8
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,Terminal-Bench v4.0,19.697,19.697,19.697,0.0,19.697,59.93010000000001,1.2226181362645718,61.15271813626458,67.49203345766077,0.0,67.49203345766077,72.11647869939297,0.0,72.11647869939297,41.32794817069921,0.0,41.32794817069921,52.357235692803506,52.112712065550596,9
gemini-3-7-flash,Gemini 3.7 Flash (high),gemini 3 7 flash,Terminal-Bench v4.0,13.6364,13.6364,13.636400000000004,0.0,13.636400000000004,62.0275,0.0,62.0275,67.27363385606579,0.0,67.27363385606579,72.31835907879824,0.0,72.31835907879824,43.90141364466525,0.0,43.90141364466525,51.831461315905855,51.831461315905855,10
glm-5-3,GLM-5.3 (max),glm 5 3,Terminal-Bench v4.0,41.9192,41.9192,41.9192,0.0,41.9192,62.20289999999999,5.272756972923798,67.47565697292379,62.25831089967026,0.0,62.25831089967026,55.71918179585914,0.0,55.71918179585914,29.87083929185787,0.0,29.87083929185787,51.44863779206221,50.39408639747745,11
glm-5-2,GLM-5.2 (max),glm 5 2,Terminal-Bench v2.1,77.9026,74.00747,74.00747,0.0,74.00747,28.399,17.06163725387735,45.46063725387735,60.6847883664432,0.0,60.6847883664432,46.66590029314767,0.0,46.66590029314767,28.542360098632347,0.0,28.542360098632347,51.07223120242011,47.65990375164465,12
kimi-k3,Kimi K3 (max),kimi k3,Terminal-Bench v4.0,12.6263,12.6263,12.626299999999999,0.0,12.626299999999999,58.27300000000001,3.2245976797073794,61.49759767970739,66.22968098685061,0.0,66.22968098685061,66.71373920580378,0.0,66.71373920580378,44.166360502083485,0.0,44.166360502083485,50.24673567488905,49.60181613894757,13
kimi-k2-6,Kimi K2.6,kimi k2 6,Terminal-Bench v2.1,65.9176,62.62171999999999,62.62171999999999,0.0,62.62171999999999,13.020799999999996,24.81203837889924,37.83283837889923,58.44321484347006,0.0,58.44321484347006,54.499741834250926,5.263091671467592,59.76283350571852,32.449961479175904,0.0,32.449961479175904,50.22211364145274,44.20708763137937,14
grok-4-6-xhigh,Grok 4.6 (xhigh),grok 4 6,Terminal-Bench v4.0,17.1717,17.1717,17.1717,0.0,17.1717,66.9974,0.0,66.9974,64.20260219368059,0.0,64.20260219368059,63.41941500833952,0.0,63.41941500833952,37.3255944359899,0.0,37.3255944359899,49.823342327602,49.823342327602,15
qwen3-8-max,Qwen3.8 Max,qwen3 8 max,Terminal-Bench v4.0,18.6869,18.6869,18.6869,0.0,18.6869,49.2321,13.8834684324152,63.1155684324152,63.1809054258484,0.0,63.1809054258484,54.34486640888907,8.320137894783684,62.66500430367275,39.778545222267745,0.0,39.778545222267745,49.485384676840816,45.04466341140104,16
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,Terminal-Bench v4.0,14.6465,14.6465,14.646499999999998,0.0,14.646499999999998,47.3006,2.9758585376763276,50.27645853767633,65.43959483172247,0.0,65.43959483172247,73.6232057845894,0.0,73.6232057845894,42.28316402541323,0.0,42.28316402541323,49.253784635880294,48.65861292834502,17
claude-opus-4-8,Claude Opus 4.8 (max),claude opus 4 8,Terminal-Bench v4.0,21.7172,21.7172,21.717199999999995,0.0,21.717199999999995,45.5934,0.0,45.5934,66.91302754501548,0.0,66.91302754501548,67.03469275427464,0.0,67.03469275427464,42.08088354585726,0.0,42.08088354585726,48.66784076902948,48.66784076902948,18
glm-5-3-flash,GLM-5.3-Flash,glm 5 3 flash,Terminal-Bench v4.0,32.8283,32.8283,32.8283,0.0,32.8283,60.36860000000001,3.2336521234713373,63.602252123471345,60.29060661139511,0.0,60.29060661139511,50.083258180753376,0.0,50.083258180753376,35.09985754956848,0.0,35.09985754956848,48.380854893037665,47.734124468343396,19
grok-4-5,Grok 4.5 (high),grok 4 5,Terminal-Bench v4.0,10.6061,10.6061,10.606100000000003,0.0,10.606100000000003,57.9349,0.0,57.9349,63.045181210937926,0.0,63.045181210937926,69.2886607966989,0.0,69.2886607966989,38.61950336293826,0.0,38.61950336293826,47.89886907411502,47.89886907411502,20
nex-n2-pro,Nex-N2-Pro,nex n2 pro,Terminal-Bench v2.1,67.7903,64.400785,64.400785,0.0,64.400785,17.6291,11.000112302583588,28.62921230258359,54.85325721696024,0.0,54.85325721696024,55.72582547374242,0.0,55.72582547374242,32.078036411226925,0.0,32.078036411226925,47.13742328090263,44.93740082038591,21
gemini-3-5-flash,Gemini 3.5 Flash,gemini 3 5 flash,Terminal-Bench v4.0,6.5657,6.5657,6.5657,0.0,6.5657,42.0797,14.04348302948707,56.12318302948707,62.736719235866964,0.0,62.736719235866964,68.84926346737488,0.06377316540866218,68.91303663278354,38.10510910626028,0.0,38.10510910626028,46.48874960087957,43.66729836190043,22
deepseek-v4-pro,DeepSeek V4 Pro 0813 (max),deepseek v4 pro 0813,Terminal-Bench v4.0,14.1414,14.1414,14.141400000000004,0.0,14.141400000000004,56.7117,1.2958984828709816,58.00759848287098,61.70013896791481,0.0,61.70013896791481,67.51199545266012,0.0,67.51199545266012,30.262181349003907,0.0,30.262181349003907,46.324662850489965,46.065483153915764,23
gpt-5-6-luna,GPT-5.6 Luna (max),gpt 5 6 luna,Terminal-Bench v4.0,11.6162,11.6162,11.616199999999996,0.0,11.616199999999996,50.20859999999999,0.0,50.20859999999999,59.97630648097629,0.0,59.97630648097629,62.39774010034338,0.0,62.39774010034338,44.810721931252125,0.0,44.810721931252125,45.801913702514355,45.801913702514355,24
qwen3-8-2-4t-a95b,Qwen3.8 2.4T A95B,qwen3 8 2 4t a95b,Terminal-Bench v4.0,11.1111,11.1111,11.111100000000002,0.0,11.111100000000002,57.247400000000006,6.918411004042035,64.16581100404204,63.01007112501937,0.0,63.01007112501937,54.06460256027042,0.0,54.06460256027042,35.400557622726794,0.0,35.400557622726794,45.55042846241172,44.16674626160332,25
gemini-3-6-flash,Gemini 3.6 Flash,gemini 3 6 flash,Terminal-Bench v4.0,7.0707,7.0707,7.0707,0.0,7.0707,53.01670000000001,0.0,53.01670000000001,61.560513170700595,0.0,61.560513170700595,68.10524074995992,0.0,68.10524074995992,37.30951621235526,0.0,37.30951621235526,45.412534026603154,45.412534026603154,26
glm-5-1,GLM-5.1,glm 5 1,Terminal-Bench v2.1,61.7978,58.70791,58.70791,0.0,58.70791,20.308399999999995,24.225319215802784,44.533719215802776,51.082878604969004,0.0,51.082878604969004,45.34748603836821,0.0,45.34748603836821,24.875696573161527,0.0,24.875696573161527,44.90953808646031,40.06447424329975,27
gemini-3-1-pro-preview,Gemini 3.1 Pro Preview,gemini 3 1 pro preview,Terminal-Bench v4.0,4.0404,4.0404,4.0404,0.0,4.0404,35.4277,6.085952197746476,41.51365219774648,66.5422786656724,0.0,66.5422786656724,71.85858188135917,0.0,71.85858188135917,38.20471175130105,0.0,38.20471175130105,44.43192489921582,43.21473445966652,28
deepseek-v4-pro-0424,DeepSeek V4 Pro (max),deepseek v4 pro,Terminal-Bench v4.0,14.6465,14.6465,14.646499999999998,0.0,14.646499999999998,56.289699999999996,0.0,56.289699999999996,57.72898811619687,0.0,57.72898811619687,61.75305907402483,0.0,61.75305907402483,31.631215278582008,0.0,31.631215278582008,44.40989249376074,44.40989249376074,29
deepseek-v4-flash,DeepSeek V4 Flash 0731 (max),deepseek v4 flash 0731,Terminal-Bench v4.0,12.1212,12.1212,12.1212,0.0,12.1212,53.967699999999994,0.0,53.967699999999994,59.169533114771156,0.0,59.169533114771156,60.556838959196014,0.0,60.556838959196014,29.602933976212565,0.0,29.602933976212565,43.08364121003595,43.08364121003595,30
