slug,model,variant_group,missing_core_count,missing_core_items,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,coding_item2,coding_item2_adjusted,coding_item2_base_points,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,hard-reasoning_item2,hard-reasoning_item2_adjusted,hard-reasoning_item2_base_points,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,knowledge-science_item2,knowledge-science_item2_adjusted,knowledge-science_item2_base_points,instruction-context_core,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,instruction-context_item2,instruction-context_item2_adjusted,instruction-context_item2_base_points,core_only_score,score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,1,AIME 2025,Terminal-Bench v4.0,52.0202,52.0202,57.54945,2.3620320052452115,59.91148200524521,9,5.392033380472069,Terminal-Bench v4.0,52.0202,2.340909,SciCode,63.0787,2.8385415,53.2962,8.872719666928264,62.16891966692826,9,5.595202770023543,AutomationBench-AA,59.3759,2.6719155,τ³-Banking,47.2165,2.1247425,14.85715,0.0,14.85715,37,5.4971455,CritPt,29.7143,5.4971455,AIME 2025,,0.0,80.48535,0.0,80.48535,28,22.535897999999996,AA-Omniscience Accuracy,67.2333,9.412662000000001,GPQA Diamond,93.7374,13.123235999999999,55.76665,0.0,55.76665,17,9.4803305,AA-LCR v1.1,85.3333,7.2533305,GDP.pdf,26.2,2.227,47.489482499999994,48.50061015049561,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,1,AIME 2025,Terminal-Bench v4.0,59.0909,59.0909,57.786199999999994,0.0,57.786199999999994,9,5.2007579999999995,Terminal-Bench v4.0,59.0909,2.6590904999999996,SciCode,56.4815,2.5416675,54.9675,0.0,54.9675,9,4.947075,AutomationBench-AA,68.4917,3.0821264999999998,τ³-Banking,41.4433,1.8649485000000001,15.85715,0.0,15.85715,37,5.8671455,CritPt,31.7143,5.8671455,AIME 2025,,0.0,79.3303,0.0,79.3303,28,22.212484,AA-Omniscience Accuracy,62.6,8.764,GPQA Diamond,96.0606,13.448483999999999,55.83335,0.0,55.83335,17,9.4916695,AA-LCR v1.1,80.6667,6.856669500000001,GDP.pdf,31.0,2.635,47.719132,47.719132,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,1,AIME 2025,Terminal-Bench v4.0,42.4242,42.4242,51.7098,5.20995557819316,56.91975557819316,9,5.122778002037385,Terminal-Bench v4.0,42.4242,1.9090889999999998,SciCode,60.9954,2.7447929999999996,46.1078,10.622255202664206,56.730055202664204,9,5.105704968239778,AutomationBench-AA,54.0713,2.4332085,τ³-Banking,38.1443,1.7164935,14.2857,0.0,14.2857,37,5.285709000000001,CritPt,28.5714,5.285709000000001,AIME 2025,,0.0,78.98814999999999,0.0,78.98814999999999,28,22.116681999999997,AA-Omniscience Accuracy,65.35,9.149,GPQA Diamond,92.6263,12.967682,53.16665,0.0,53.16665,17,9.038330499999999,AA-LCR v1.1,82.3333,6.9983305,GDP.pdf,24.0,2.04,45.244305499999996,46.66920447027716,3
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,1,AIME 2025,Terminal-Bench v4.0,39.899,39.899,48.479600000000005,0.0,48.479600000000005,9,4.363164,Terminal-Bench v4.0,39.899,1.795455,SciCode,57.0602,2.567709,52.2055,0.0,52.2055,9,4.698495,AutomationBench-AA,60.0811,2.7036495,τ³-Banking,44.3299,1.9948455,16.14285,0.0,16.14285,37,5.9728544999999995,CritPt,32.2857,5.9728544999999995,AIME 2025,,0.0,76.7707,0.0,76.7707,28,21.495796,AA-Omniscience Accuracy,59.4,8.316,GPQA Diamond,94.1414,13.179796000000001,55.6,0.0,55.6,17,9.452,AA-LCR v1.1,84.0,7.14,GDP.pdf,27.2,2.312,45.9823095,45.9823095,4
claude-opus-5,Claude Opus 5 (max),claude opus 5,1,AIME 2025,Terminal-Bench v4.0,48.9899,48.9899,52.6778,3.73895816933927,56.41675816933927,9,5.0775082352405345,Terminal-Bench v4.0,48.9899,2.2045455,SciCode,56.3657,2.5364565,49.317750000000004,8.494905478269374,57.81265547826938,9,5.203138993044243,AutomationBench-AA,56.5736,2.5458119999999997,τ³-Banking,42.0619,1.8927855,14.57145,0.0,14.57145,37,5.3914365,CritPt,29.1429,5.3914365,AIME 2025,,0.0,77.0495,0.0,77.0495,28,21.57386,AA-Omniscience Accuracy,60.8667,8.521338,GPQA Diamond,93.2323,13.052522,50.46665,0.0,50.46665,17,8.5793305,AA-LCR v1.1,79.3333,6.7433305,GDP.pdf,21.6,1.8360000000000003,44.7242265,45.825274228284776,5
claude-4-5-sonnet-thinking,Claude 4.5 Sonnet,claude 4 5 sonnet,0,,Terminal-Bench v4.0,0.0,0.0,22.8588,0.0,22.8588,9,2.057292,Terminal-Bench v4.0,0.0,0.0,SciCode,45.7176,2.057292,19.3059,5.236658800129433,24.542558800129434,9,2.208830292011649,AutomationBench-AA,14.0757,0.6334065,τ³-Banking,24.5361,1.1041245000000002,44.57145,0.0,44.57145,37,16.4914365,CritPt,1.1429,0.2114365,AIME 2025,88.0,16.28,58.150499999999994,0.0,58.150499999999994,28,16.28214,AA-Omniscience Accuracy,32.8667,4.601338,GPQA Diamond,83.4343,11.680801999999998,38.76665,0.0,38.76665,17,6.5903305,AA-LCR v1.1,72.3333,6.148330499999999,GDP.pdf,5.2,0.442,43.15873,43.63002929201165,6
gemini-2-5-pro,Gemini 2.5 Pro,gemini 2 5 pro,0,,Terminal-Bench v4.0,0.0,0.0,23.14815,0.0,23.14815,9,2.0833335,Terminal-Bench v4.0,0.0,0.0,SciCode,46.2963,2.0833335,5.9328,0.5675150375679365,6.500315037567937,9,0.5850283533811144,AutomationBench-AA,2.1749,0.09787050000000001,τ³-Banking,9.6907,0.43608149999999996,45.11905,0.0,45.11905,37,16.6940485,CritPt,2.5714,0.475709,AIME 2025,87.6667,16.218339500000003,61.7472,0.0,61.7472,28,17.289216,AA-Omniscience Accuracy,39.05,5.467,GPQA Diamond,84.4444,11.822216000000001,39.6,0.0,39.6,17,6.732,AA-LCR v1.1,69.0,5.865,GDP.pdf,10.2,0.8669999999999999,43.33255,43.38362635338112,7
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,1,AIME 2025,Terminal-Bench v4.0,35.3535,35.3535,45.1652,0.0,45.1652,9,4.064868000000001,Terminal-Bench v4.0,35.3535,1.5909075,SciCode,54.9769,2.4739605,49.9281,0.0,49.9281,9,4.493529,AutomationBench-AA,59.65,2.68425,τ³-Banking,40.2062,1.8092790000000003,15.0,0.0,15.0,37,5.55,CritPt,30.0,5.55,AIME 2025,,0.0,69.66265,0.0,69.66265,28,19.505542000000002,AA-Omniscience Accuracy,46.8,6.552,GPQA Diamond,92.5253,12.953542,53.5,0.0,53.5,17,9.095,AA-LCR v1.1,83.0,7.055,GDP.pdf,24.0,2.04,42.708939,42.708939,8
gpt-5-mini,GPT-5 mini (high),gpt 5 mini,0,,Terminal-Bench v4.0,0.0,0.0,19.5023,0.0,19.5023,9,1.755207,Terminal-Bench v4.0,0.0,0.0,SciCode,39.0046,1.755207,10.9757,7.614311905176891,18.59001190517689,9,1.67310107146592,AutomationBench-AA,6.4875,0.29193749999999996,τ³-Banking,15.4639,0.6958755000000001,45.33335,0.0,45.33335,37,16.773339500000002,CritPt,0.0,0.0,AIME 2025,90.6667,16.773339500000002,53.8975,1.2934961445991888,55.19099614459919,28,15.453478920487774,AA-Omniscience Accuracy,24.9667,3.495338,GPQA Diamond,82.8283,11.595962,40.36665,0.0,40.36665,17,6.8623305000000006,AA-LCR v1.1,72.3333,6.148330499999999,GDP.pdf,8.4,0.7140000000000001,41.46999,42.51745699195369,9
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,1,AIME 2025,Terminal-Bench v4.0,14.6465,14.6465,35.21675,0.0,35.21675,9,3.1695075,Terminal-Bench v4.0,14.6465,0.6590925,SciCode,55.787,2.510415,43.13485,0.0,43.13485,9,3.8821365,AutomationBench-AA,47.3006,2.128527,τ³-Banking,38.9691,1.7536095,13.57145,0.0,13.57145,37,5.0214365,CritPt,27.1429,5.0214365,AIME 2025,,0.0,75.7427,0.0,75.7427,28,21.207956,AA-Omniscience Accuracy,57.95,8.113000000000001,GPQA Diamond,93.5354,13.094956,52.76665,0.0,52.76665,17,8.9703305,AA-LCR v1.1,84.3333,7.1683305,GDP.pdf,21.2,1.8019999999999998,42.251367,42.251367,10
