method_left,method_right,common_variant_groups,spearman_rank_correlation,top50_overlap
rasch_equal_board,rasch_equal_board,154,1.0,50
rasch_equal_board,twopl_equal_board,154,0.99831,50
rasch_equal_board,percentile_mean_equal_board,154,0.98816,46
rasch_equal_board,percentile_median_equal_board,154,0.98856,47
rasch_equal_board,global_family_percentile,154,0.96383,43
rasch_equal_board,rasch_sparse_item_sensitivity,154,0.99996,50
rasch_equal_board,rasch_dense_item_sensitivity,154,0.99973,50
twopl_equal_board,twopl_equal_board,154,1.0,50
twopl_equal_board,percentile_mean_equal_board,154,0.98649,46
twopl_equal_board,percentile_median_equal_board,154,0.98777,47
twopl_equal_board,global_family_percentile,154,0.96018,43
twopl_equal_board,rasch_sparse_item_sensitivity,154,0.99833,50
twopl_equal_board,rasch_dense_item_sensitivity,154,0.99798,50
percentile_mean_equal_board,percentile_mean_equal_board,154,1.0,50
percentile_mean_equal_board,percentile_median_equal_board,154,0.99688,47
percentile_mean_equal_board,global_family_percentile,154,0.98833,47
percentile_mean_equal_board,rasch_sparse_item_sensitivity,154,0.98821,46
percentile_mean_equal_board,rasch_dense_item_sensitivity,154,0.98752,46
percentile_median_equal_board,percentile_median_equal_board,154,1.0,50
percentile_median_equal_board,global_family_percentile,154,0.98391,46
percentile_median_equal_board,rasch_sparse_item_sensitivity,154,0.98857,47
percentile_median_equal_board,rasch_dense_item_sensitivity,154,0.9881,47
global_family_percentile,global_family_percentile,154,1.0,50
global_family_percentile,rasch_sparse_item_sensitivity,154,0.96391,43
global_family_percentile,rasch_dense_item_sensitivity,154,0.96282,43
rasch_sparse_item_sensitivity,rasch_sparse_item_sensitivity,154,1.0,50
rasch_sparse_item_sensitivity,rasch_dense_item_sensitivity,154,0.9997,50
rasch_dense_item_sensitivity,rasch_dense_item_sensitivity,154,1.0,50
