slug,model,variant_group,missing_core_count,missing_core_items,items_total,terminal_source,terminal_raw,terminal_effective,coding_core,coding_core_count,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,coding_item2,coding_item2_adjusted,coding_item2_base_points,agentic-tool-work_core,agentic-tool-work_core_count,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_core_count,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,knowledge-science_core,knowledge-science_core_count,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,instruction-context_core,instruction-context_core_count,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,instruction-context_item2,instruction-context_item2_adjusted,instruction-context_item2_base_points,core_only_score,score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,0,,8,Terminal-Bench v4.0,52.0202,52.0202,57.54945,2,2.3620320052452115,59.91148200524521,14,8.38760748073433,Terminal-Bench v4.0,52.0202,3.641414,SciCode,63.0787,4.415508999999999,61.27895,2,8.373969470847232,69.65291947084724,9,6.268762752376251,AutomationBench-AA,59.3759,2.6719155,GDPval-AA v2,63.182,2.8431900000000003,29.7143,1,0.0,29.7143,26,7.7257180000000005,CritPt,29.7143,7.7257180000000005,67.2333,1,0.0,67.2333,22,14.791326,AA-Omniscience Accuracy,67.2333,14.791326,55.76665,2,0.0,55.76665,29,16.1723285,AA-LCR v1.1,85.3333,12.3733285,GDP.pdf,26.2,3.799,52.261401,53.34574273311058,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,0,,8,Terminal-Bench v4.0,59.0909,59.0909,57.786199999999994,2,0.0,57.786199999999994,14,8.090067999999999,Terminal-Bench v4.0,59.0909,4.136363,SciCode,56.4815,3.953705,61.25085,2,0.0,61.25085,9,5.5125765,AutomationBench-AA,68.4917,3.0821264999999998,GDPval-AA v2,54.01,2.43045,31.7143,1,0.0,31.7143,26,8.245718,CritPt,31.7143,8.245718,62.6,1,0.0,62.6,22,13.772,AA-Omniscience Accuracy,62.6,13.772,55.83335,2,0.0,55.83335,29,16.191671499999998,AA-LCR v1.1,80.6667,11.6966715,GDP.pdf,31.0,4.495,51.812034,51.812034,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,0,,8,Terminal-Bench v4.0,42.4242,42.4242,51.7098,2,5.20995557819316,56.91975557819316,14,7.968765780947042,Terminal-Bench v4.0,42.4242,2.969694,SciCode,60.9954,4.269678,55.32215,2,9.592673506369238,64.91482350636923,9,5.84233411557323,AutomationBench-AA,54.0713,2.4332085,GDPval-AA v2,56.573,2.545785,28.5714,1,0.0,28.5714,26,7.428564,CritPt,28.5714,7.428564,65.35,1,0.0,65.35,22,14.376999999999999,AA-Omniscience Accuracy,65.35,14.376999999999999,53.16665,2,0.0,53.16665,29,15.4183285,AA-LCR v1.1,82.3333,11.9383285,GDP.pdf,24.0,3.48,49.442257999999995,51.034992396520266,3
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,0,,8,Terminal-Bench v4.0,39.899,39.899,48.479600000000005,2,0.0,48.479600000000005,14,6.7871440000000005,Terminal-Bench v4.0,39.899,2.79293,SciCode,57.0602,3.994214,58.143299999999996,2,0.5953302134185137,58.73863021341851,9,5.286476719207666,AutomationBench-AA,60.0811,2.7036495,GDPval-AA v2,56.2055,2.5292475000000003,32.2857,1,0.0,32.2857,26,8.394281999999999,CritPt,32.2857,8.394281999999999,59.4,1,0.0,59.4,22,13.068,AA-Omniscience Accuracy,59.4,13.068,55.6,2,0.0,55.6,29,16.124000000000002,AA-LCR v1.1,84.0,12.18,GDP.pdf,27.2,3.944,49.606323,49.659902719207665,4
claude-opus-5,Claude Opus 5 (max),claude opus 5,0,,8,Terminal-Bench v4.0,48.9899,48.9899,52.6778,2,3.73895816933927,56.41675816933927,14,7.898346143707497,Terminal-Bench v4.0,48.9899,3.429293,SciCode,56.3657,3.9455989999999996,59.16405,2,7.226808973342358,66.39085897334236,9,5.975177307600813,AutomationBench-AA,56.5736,2.5458119999999997,GDPval-AA v2,61.7545,2.7789525,29.1429,1,0.0,29.1429,26,7.577154,CritPt,29.1429,7.577154,60.8667,1,0.0,60.8667,22,13.390674,AA-Omniscience Accuracy,60.8667,13.390674,50.46665,2,0.0,50.46665,29,14.6353285,AA-LCR v1.1,79.3333,11.5033285,GDP.pdf,21.6,3.1320000000000006,48.302813,49.47667995130831,5
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,0,,8,Terminal-Bench v4.0,35.3535,35.3535,45.1652,2,0.0,45.1652,14,6.323128,Terminal-Bench v4.0,35.3535,2.474745,SciCode,54.9769,3.848383,54.248999999999995,2,0.0,54.248999999999995,9,4.88241,AutomationBench-AA,59.65,2.68425,GDPval-AA v2,48.848,2.19816,30.0,1,0.0,30.0,26,7.8,CritPt,30.0,7.8,46.8,1,0.0,46.8,22,10.296,AA-Omniscience Accuracy,46.8,10.296,53.5,2,0.0,53.5,29,15.515,AA-LCR v1.1,83.0,12.035,GDP.pdf,24.0,3.48,44.816538,44.816538,6
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,0,,8,Terminal-Bench v4.0,14.6465,14.6465,35.21675,2,0.0,35.21675,14,4.930345,Terminal-Bench v4.0,14.6465,1.025255,SciCode,55.787,3.90509,46.046549999999996,2,3.2721146487241883,49.31866464872419,9,4.438679818385177,AutomationBench-AA,47.3006,2.128527,GDPval-AA v2,44.7925,2.0156625,27.1429,1,0.0,27.1429,26,7.057154000000001,CritPt,27.1429,7.057154000000001,57.95,1,0.0,57.95,22,12.749,AA-Omniscience Accuracy,57.95,12.749,52.76665,2,0.0,52.76665,29,15.302328499999998,AA-LCR v1.1,84.3333,12.2283285,GDP.pdf,21.2,3.074,44.183017,44.47750731838518,7
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,0,,8,Terminal-Bench v4.0,33.3333,33.3333,46.064800000000005,2,0.0,46.064800000000005,14,6.449072000000001,Terminal-Bench v4.0,33.3333,2.333331,SciCode,58.7963,4.115741000000001,59.0102,2,6.211049037656231,65.22124903765624,9,5.869912413389061,AutomationBench-AA,57.8534,2.603403,GDPval-AA v2,60.167,2.7075150000000003,24.8571,1,0.0,24.8571,26,6.462846,CritPt,24.8571,6.462846,43.5833,1,0.0,43.5833,22,9.588326,AA-Omniscience Accuracy,43.5833,9.588326,54.8,2,0.0,54.8,29,15.891999999999998,AA-LCR v1.1,83.0,12.035,GDP.pdf,26.6,3.8570000000000007,43.703162,44.26215641338906,8
kimi-k3,Kimi K3 (max),kimi k3,0,,8,Terminal-Bench v4.0,12.6263,12.6263,36.058499999999995,2,0.0,36.058499999999995,14,5.04819,Terminal-Bench v4.0,12.6263,0.883841,SciCode,59.4907,4.164349,56.22475,2,3.5060431904155394,59.73079319041554,9,5.375771387137398,AutomationBench-AA,58.273,2.6222849999999998,GDPval-AA v2,54.1765,2.4379424999999997,23.4286,1,0.0,23.4286,26,6.091436,CritPt,23.4286,6.091436,47.5833,1,0.0,47.5833,22,10.468326,AA-Omniscience Accuracy,47.5833,10.468326,55.33335,2,0.0,55.33335,29,16.0466715,AA-LCR v1.1,88.6667,12.8566715,GDP.pdf,22.0,3.19,42.714850999999996,43.0303948871374,9
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,0,,8,Terminal-Bench v4.0,19.697,19.697,38.1471,2,0.0,38.1471,14,5.340593999999999,Terminal-Bench v4.0,19.697,1.37879,SciCode,56.5972,3.9618040000000003,54.0603,2,3.8980054708154412,57.95830547081544,9,5.216247492373389,AutomationBench-AA,59.9301,2.6968545,GDPval-AA v2,48.1905,2.1685725,18.2857,1,0.0,18.2857,26,4.754282,CritPt,18.2857,4.754282,54.6,1,0.015296283174834004,54.615296283174835,22,12.015365182298465,AA-Omniscience Accuracy,54.6,12.012,51.16665,2,0.0,51.16665,29,14.8383285,AA-LCR v1.1,81.3333,11.7933285,GDP.pdf,21.0,3.045,41.8106315,42.16481717467185,10
