slug,model,variant_group,missing_core_count,missing_core_items,items_total,terminal_source,terminal_raw,terminal_effective,coding_core,coding_core_count,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,agentic-tool-work_core,agentic-tool-work_core_count,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_core_count,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,knowledge-science_core,knowledge-science_core_count,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,knowledge-science_item2,knowledge-science_item2_adjusted,knowledge-science_item2_base_points,instruction-context_core,instruction-context_core_count,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,instruction-context_item2,instruction-context_item2_adjusted,instruction-context_item2_base_points,core_only_score,score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,0,,8,Terminal-Bench v4.0,52.0202,52.0202,63.0787,1,0.7793228792274506,63.85802287922745,12,7.6629627455072935,SciCode,63.0787,7.569444,53.2962,2,8.872719666928264,62.16891966692826,9,5.595202770023543,AutomationBench-AA,59.3759,2.6719155,τ³-Banking,47.2165,2.1247425,29.7143,1,0.0,29.7143,36,10.697148,CritPt,29.7143,10.697148,63.18105,2,0.0,63.18105,20,12.63621,AA-Omniscience Accuracy,67.2333,6.72333,Humanity's Last Exam,59.1288,5.91288,55.76665,2,0.0,55.76665,23,12.8263295,AA-LCR v1.1,85.3333,9.8133295,GDP.pdf,26.2,3.013,48.5257895,49.41785301553084,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,0,,8,Terminal-Bench v4.0,59.0909,59.0909,56.4815,1,0.0,56.4815,12,6.77778,SciCode,56.4815,6.77778,54.9675,2,0.0,54.9675,9,4.947075,AutomationBench-AA,68.4917,3.0821264999999998,τ³-Banking,41.4433,1.8649485000000001,31.7143,1,0.0,31.7143,36,11.417148,CritPt,31.7143,11.417148,58.640150000000006,2,0.0,58.640150000000006,20,11.72803,AA-Omniscience Accuracy,62.6,6.26,Humanity's Last Exam,54.6803,5.46803,55.83335,2,0.0,55.83335,23,12.8416705,AA-LCR v1.1,80.6667,9.2766705,GDP.pdf,31.0,3.565,47.7117035,47.7117035,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,0,,8,Terminal-Bench v4.0,42.4242,42.4242,60.9954,1,2.6801706206414337,63.67557062064143,12,7.641068474476972,SciCode,60.9954,7.3194479999999995,46.1078,2,10.622255202664206,56.730055202664204,9,5.105704968239778,AutomationBench-AA,54.0713,2.4332085,τ³-Banking,38.1443,1.7164935,28.5714,1,0.0,28.5714,36,10.285704,CritPt,28.5714,10.285704,60.409,2,0.0,60.409,20,12.081800000000001,AA-Omniscience Accuracy,65.35,6.535,Humanity's Last Exam,55.468,5.546800000000001,53.16665,2,0.0,53.16665,23,12.2283295,AA-LCR v1.1,82.3333,9.4683295,GDP.pdf,24.0,2.76,46.0649835,47.34260694271675,3
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,0,,8,Terminal-Bench v4.0,39.899,39.899,57.0602,1,0.0,57.0602,12,6.847224,SciCode,57.0602,6.847224,52.2055,2,0.0,52.2055,9,4.698495,AutomationBench-AA,60.0811,2.7036495,τ³-Banking,44.3299,1.9948455,32.2857,1,0.0,32.2857,36,11.622852,CritPt,32.2857,11.622852,54.44515,2,0.0,54.44515,20,10.88903,AA-Omniscience Accuracy,59.4,5.94,Humanity's Last Exam,49.4903,4.94903,55.6,2,0.0,55.6,23,12.788,AA-LCR v1.1,84.0,9.66,GDP.pdf,27.2,3.128,46.845601,46.845601,4
claude-opus-5,Claude Opus 5 (max),claude opus 5,0,,8,Terminal-Bench v4.0,48.9899,48.9899,56.3657,1,8.771158374889183,65.13685837488919,12,7.816423004986702,SciCode,56.3657,6.763883999999999,49.317750000000004,2,8.494905478269374,57.81265547826938,9,5.203138993044243,AutomationBench-AA,56.5736,2.5458119999999997,τ³-Banking,42.0619,1.8927855,29.1429,1,0.0,29.1429,36,10.491444000000001,CritPt,29.1429,10.491444000000001,57.866150000000005,2,0.0,57.866150000000005,20,11.57323,AA-Omniscience Accuracy,60.8667,6.086670000000001,Humanity's Last Exam,54.8656,5.48656,50.46665,2,0.0,50.46665,23,11.6073295,AA-LCR v1.1,79.3333,9.1233295,GDP.pdf,21.6,2.484,44.874485,46.69156549803095,5
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,0,,8,Terminal-Bench v4.0,35.3535,35.3535,54.9769,1,0.0,54.9769,12,6.597228,SciCode,54.9769,6.597228,49.9281,2,0.0,49.9281,9,4.493529,AutomationBench-AA,59.65,2.68425,τ³-Banking,40.2062,1.8092790000000003,30.0,1,0.0,30.0,36,10.8,CritPt,30.0,10.8,44.85505,2,0.0,44.85505,20,8.97101,AA-Omniscience Accuracy,46.8,4.68,Humanity's Last Exam,42.9101,4.29101,53.5,2,0.0,53.5,23,12.305,AA-LCR v1.1,83.0,9.545,GDP.pdf,24.0,2.76,43.166767,43.166767,6
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,0,,8,Terminal-Bench v4.0,14.6465,14.6465,55.787,1,0.0,55.787,12,6.694439999999999,SciCode,55.787,6.694439999999999,43.13485,2,0.0,43.13485,9,3.8821365,AutomationBench-AA,47.3006,2.128527,τ³-Banking,38.9691,1.7536095,27.1429,1,0.0,27.1429,36,9.771444,CritPt,27.1429,9.771444,51.866550000000004,2,0.0,51.866550000000004,20,10.373310000000002,AA-Omniscience Accuracy,57.95,5.795,Humanity's Last Exam,45.7831,4.578309999999999,52.76665,2,0.0,52.76665,23,12.136329499999999,AA-LCR v1.1,84.3333,9.6983295,GDP.pdf,21.2,2.4379999999999997,42.85766,42.85766,7
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,0,,8,Terminal-Bench v4.0,33.3333,33.3333,58.7963,1,0.0,58.7963,12,7.055556,SciCode,58.7963,7.055556,54.18445,2,0.0,54.18445,9,4.8766004999999994,AutomationBench-AA,57.8534,2.603403,τ³-Banking,50.5155,2.2731975,24.8571,1,0.0,24.8571,36,8.948556,CritPt,24.8571,8.948556,46.1429,2,0.0,46.1429,20,9.22858,AA-Omniscience Accuracy,43.5833,4.3583300000000005,Humanity's Last Exam,48.7025,4.8702499999999995,54.8,2,0.0,54.8,23,12.604,AA-LCR v1.1,83.0,9.545,GDP.pdf,26.6,3.059,42.713292499999994,42.713292499999994,8
kimi-k3,Kimi K3 (max),kimi k3,0,,8,Terminal-Bench v4.0,12.6263,12.6263,59.4907,1,0.0,59.4907,12,7.138883999999999,SciCode,59.4907,7.138883999999999,52.1262,2,0.0,52.1262,9,4.691357999999999,AutomationBench-AA,58.273,2.6222849999999998,τ³-Banking,45.9794,2.069073,23.4286,1,0.0,23.4286,36,8.434296,CritPt,23.4286,8.434296,47.2393,2,0.0,47.2393,20,9.44786,AA-Omniscience Accuracy,47.5833,4.75833,Humanity's Last Exam,46.8953,4.6895299999999995,55.33335,2,0.0,55.33335,23,12.7266705,AA-LCR v1.1,88.6667,10.1966705,GDP.pdf,22.0,2.53,42.4390685,42.4390685,9
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,0,,8,Terminal-Bench v4.0,19.697,19.697,56.5972,1,0.0,56.5972,12,6.791664000000001,SciCode,56.5972,6.791664000000001,52.4393,2,0.0,52.4393,9,4.719537,AutomationBench-AA,59.9301,2.6968545,τ³-Banking,44.9485,2.0226825,18.2857,1,0.0,18.2857,36,6.582851999999999,CritPt,18.2857,6.582851999999999,51.21105,2,0.0,51.21105,20,10.24221,AA-Omniscience Accuracy,54.6,5.46,Humanity's Last Exam,47.8221,4.78221,51.16665,2,0.0,51.16665,23,11.7683295,AA-LCR v1.1,81.3333,9.3533295,GDP.pdf,21.0,2.415,40.1045925,40.1045925,10
