variant,slug,model,variant_group,missing_core_count,missing_core_items,items_total,terminal_source,terminal_raw,terminal_effective,coding_core,coding_core_count,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,coding_item2,coding_item2_adjusted,coding_item2_base_points,agentic-tool-work_core,agentic-tool-work_core_count,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_core_count,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,knowledge-science_core,knowledge-science_core_count,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,instruction-context_core,instruction-context_core_count,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,instruction-context_item2,instruction-context_item2_adjusted,instruction-context_item2_base_points,core_only_score,score,rank,knowledge-science_item2,knowledge-science_item2_adjusted,knowledge-science_item2_base_points,hard-reasoning_item2,hard-reasoning_item2_adjusted,hard-reasoning_item2_base_points
mc01,claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,0,,8,Terminal-Bench v4.0,52.0202,52.0202,57.54945,2,2.3620320052452115,59.91148200524521,9,5.392033380472069,Terminal-Bench v4.0,52.0202,2.340909,SciCode,63.0787,2.8385415,53.2962,2,8.872719666928264,62.16891966692826,18,11.190405540047086,AutomationBench-AA,59.3759,5.343831,τ³-Banking,47.2165,4.249485,29.7143,1,0.0,29.7143,26,7.7257180000000005,CritPt,29.7143,7.7257180000000005,67.2333,1,0.0,67.2333,21,14.118993,AA-Omniscience Accuracy,67.2333,14.118993,55.76665,2,0.0,55.76665,26,14.499329,AA-LCR v1.1,85.3333,11.093328999999999,GDP.pdf,26.2,3.4059999999999997,51.1168065,52.92647892051915,1,,,,,,
mc01,gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,0,,8,Terminal-Bench v4.0,59.0909,59.0909,57.786199999999994,2,0.0,57.786199999999994,9,5.2007579999999995,Terminal-Bench v4.0,59.0909,2.6590904999999996,SciCode,56.4815,2.5416675,54.9675,2,0.0,54.9675,18,9.89415,AutomationBench-AA,68.4917,6.1642529999999995,τ³-Banking,41.4433,3.7298970000000002,31.7143,1,0.0,31.7143,26,8.245718,CritPt,31.7143,8.245718,62.6,1,0.0,62.6,21,13.146,AA-Omniscience Accuracy,62.6,13.146,55.83335,2,0.0,55.83335,26,14.516671,AA-LCR v1.1,80.6667,10.486671000000001,GDP.pdf,31.0,4.03,51.003297,51.003297,2,,,,,,
mc01,claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,0,,8,Terminal-Bench v4.0,42.4242,42.4242,51.7098,2,5.20995557819316,56.91975557819316,9,5.122778002037385,Terminal-Bench v4.0,42.4242,1.9090889999999998,SciCode,60.9954,2.7447929999999996,46.1078,2,10.622255202664206,56.730055202664204,18,10.211409936479557,AutomationBench-AA,54.0713,4.866417,τ³-Banking,38.1443,3.432987,28.5714,1,0.0,28.5714,26,7.428564,CritPt,28.5714,7.428564,65.35,1,0.0,65.35,21,13.7235,AA-Omniscience Accuracy,65.35,13.7235,53.16665,2,0.0,53.16665,26,13.823329,AA-LCR v1.1,82.3333,10.703328999999998,GDP.pdf,24.0,3.12,47.928678999999995,50.30958093851694,3,,,,,,
mc01,gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,0,,8,Terminal-Bench v4.0,39.899,39.899,48.479600000000005,2,0.0,48.479600000000005,9,4.363164,Terminal-Bench v4.0,39.899,1.795455,SciCode,57.0602,2.567709,52.2055,2,0.0,52.2055,18,9.39699,AutomationBench-AA,60.0811,5.407299,τ³-Banking,44.3299,3.989691,32.2857,1,0.0,32.2857,26,8.394281999999999,CritPt,32.2857,8.394281999999999,59.4,1,0.0,59.4,21,12.473999999999998,AA-Omniscience Accuracy,59.4,12.473999999999998,55.6,2,0.0,55.6,26,14.456000000000001,AA-LCR v1.1,84.0,10.92,GDP.pdf,27.2,3.5359999999999996,49.084436,49.084436,4,,,,,,
mc01,claude-opus-5,Claude Opus 5 (max),claude opus 5,0,,8,Terminal-Bench v4.0,48.9899,48.9899,52.6778,2,3.73895816933927,56.41675816933927,9,5.0775082352405345,Terminal-Bench v4.0,48.9899,2.2045455,SciCode,56.3657,2.5364565,49.317750000000004,2,8.494905478269374,57.81265547826938,18,10.406277986088487,AutomationBench-AA,56.5736,5.0916239999999995,τ³-Banking,42.0619,3.785571,29.1429,1,0.0,29.1429,26,7.577154,CritPt,29.1429,7.577154,60.8667,1,0.0,60.8667,21,12.782007,AA-Omniscience Accuracy,60.8667,12.782007,50.46665,2,0.0,50.46665,26,13.121329000000001,AA-LCR v1.1,79.3333,10.313329,GDP.pdf,21.6,2.8080000000000003,47.098687,48.96427622132902,5,,,,,,
mc01,gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,0,,8,Terminal-Bench v4.0,35.3535,35.3535,45.1652,2,0.0,45.1652,9,4.064868000000001,Terminal-Bench v4.0,35.3535,1.5909075,SciCode,54.9769,2.4739605,49.9281,2,0.0,49.9281,18,8.987058,AutomationBench-AA,59.65,5.3685,τ³-Banking,40.2062,3.6185580000000006,30.0,1,0.0,30.0,26,7.8,CritPt,30.0,7.8,46.8,1,0.0,46.8,21,9.828,AA-Omniscience Accuracy,46.8,9.828,53.5,2,0.0,53.5,26,13.91,AA-LCR v1.1,83.0,10.79,GDP.pdf,24.0,3.12,44.589926,44.589926,6,,,,,,
mc01,gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,0,,8,Terminal-Bench v4.0,14.6465,14.6465,35.21675,2,0.0,35.21675,9,3.1695075,Terminal-Bench v4.0,14.6465,0.6590925,SciCode,55.787,2.510415,43.13485,2,0.0,43.13485,18,7.764273,AutomationBench-AA,47.3006,4.257054,τ³-Banking,38.9691,3.507219,27.1429,1,0.0,27.1429,26,7.057154000000001,CritPt,27.1429,7.057154000000001,57.95,1,0.0,57.95,21,12.169500000000001,AA-Omniscience Accuracy,57.95,12.169500000000001,52.76665,2,0.0,52.76665,26,13.719329,AA-LCR v1.1,84.3333,10.963328999999998,GDP.pdf,21.2,2.756,43.8797635,43.8797635,7,,,,,,
mc01,muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,0,,8,Terminal-Bench v4.0,33.3333,33.3333,46.064800000000005,2,0.0,46.064800000000005,9,4.145832,Terminal-Bench v4.0,33.3333,1.4999985,SciCode,58.7963,2.6458335,54.18445,2,0.0,54.18445,18,9.753200999999999,AutomationBench-AA,57.8534,5.206806,τ³-Banking,50.5155,4.546395,24.8571,1,0.0,24.8571,26,6.462846,CritPt,24.8571,6.462846,43.5833,1,0.0,43.5833,21,9.152493,AA-Omniscience Accuracy,43.5833,9.152493,54.8,2,0.0,54.8,26,14.248,AA-LCR v1.1,83.0,10.79,GDP.pdf,26.6,3.458,43.762372,43.762372,8,,,,,,
mc01,kimi-k3,Kimi K3 (max),kimi k3,0,,8,Terminal-Bench v4.0,12.6263,12.6263,36.058499999999995,2,0.0,36.058499999999995,9,3.2452649999999994,Terminal-Bench v4.0,12.6263,0.5681835000000001,SciCode,59.4907,2.6770815,52.1262,2,0.0,52.1262,18,9.382715999999999,AutomationBench-AA,58.273,5.2445699999999995,τ³-Banking,45.9794,4.138146,23.4286,1,0.0,23.4286,26,6.091436,CritPt,23.4286,6.091436,47.5833,1,0.0,47.5833,21,9.992493000000001,AA-Omniscience Accuracy,47.5833,9.992493000000001,55.33335,2,0.0,55.33335,26,14.386671000000002,AA-LCR v1.1,88.6667,11.526671,GDP.pdf,22.0,2.86,43.098581,43.098581,9,,,,,,
mc01,gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,0,,8,Terminal-Bench v4.0,19.697,19.697,38.1471,2,0.0,38.1471,9,3.4332390000000004,Terminal-Bench v4.0,19.697,0.886365,SciCode,56.5972,2.546874,52.4393,2,0.0,52.4393,18,9.439074,AutomationBench-AA,59.9301,5.393709,τ³-Banking,44.9485,4.045365,18.2857,1,0.0,18.2857,26,4.754282,CritPt,18.2857,4.754282,54.6,1,0.015296283174834004,54.615296283174835,21,11.469212219466716,AA-Omniscience Accuracy,54.6,11.466000000000001,51.16665,2,0.0,51.16665,26,13.303328999999998,AA-LCR v1.1,81.3333,10.573329,GDP.pdf,21.0,2.73,42.395924,42.39913621946671,10,,,,,,
