slug,model,variant_group,missing_core_count,missing_core_items,items_total,terminal_source,terminal_raw,terminal_effective,coding_core,coding_core_count,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,coding_item2,coding_item2_adjusted,coding_item2_base_points,agentic-tool-work_core,agentic-tool-work_core_count,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_core_count,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,knowledge-science_core,knowledge-science_core_count,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,instruction-context_core,instruction-context_core_count,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,instruction-context_item2,instruction-context_item2_adjusted,instruction-context_item2_base_points,core_only_score,score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,0,,8,Terminal-Bench v4.0,52.0202,52.0202,57.54945,2,2.3620320052452115,59.91148200524521,15,8.98672230078678,Terminal-Bench v4.0,52.0202,3.901515,SciCode,63.0787,4.7309025,55.199250000000006,2,7.054783171727888,62.2540331717279,9,5.602862985455511,τ³-Banking,47.2165,2.1247425,GDPval-AA v2,63.182,2.8431900000000003,29.7143,1,0.0,29.7143,24,7.131432,CritPt,29.7143,7.131432,67.2333,1,0.0,67.2333,21,14.118993,AA-Omniscience Accuracy,67.2333,14.118993,55.76665,2,0.0,55.76665,31,17.2876615,AA-LCR v1.1,85.3333,13.2266615,GDP.pdf,26.2,4.061,52.1384365,53.12767178624229,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,0,,8,Terminal-Bench v4.0,59.0909,59.0909,57.786199999999994,2,0.0,57.786199999999994,15,8.667929999999998,Terminal-Bench v4.0,59.0909,4.431817499999999,SciCode,56.4815,4.2361125,47.72665,2,0.0,47.72665,9,4.2953985,τ³-Banking,41.4433,1.8649485000000001,GDPval-AA v2,54.01,2.43045,31.7143,1,0.0,31.7143,24,7.611432,CritPt,31.7143,7.611432,62.6,1,0.0,62.6,21,13.146,AA-Omniscience Accuracy,62.6,13.146,55.83335,2,0.0,55.83335,31,17.3083385,AA-LCR v1.1,80.6667,12.5033385,GDP.pdf,31.0,4.805,51.029099,51.029099,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,0,,8,Terminal-Bench v4.0,42.4242,42.4242,51.7098,2,5.20995557819316,56.91975557819316,15,8.537963336728973,Terminal-Bench v4.0,42.4242,3.181815,SciCode,60.9954,4.574655,47.35865,2,9.844454650564842,57.20310465056484,9,5.148279418550835,τ³-Banking,38.1443,1.7164935,GDPval-AA v2,56.573,2.545785,28.5714,1,0.0,28.5714,24,6.857136000000001,CritPt,28.5714,6.857136000000001,65.35,1,0.0,65.35,21,13.7235,AA-Omniscience Accuracy,65.35,13.7235,53.16665,2,0.0,53.16665,31,16.4816615,AA-LCR v1.1,82.3333,12.7616615,GDP.pdf,24.0,3.72,49.081046,50.748540255279806,3
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,0,,8,Terminal-Bench v4.0,39.899,39.899,48.479600000000005,2,0.0,48.479600000000005,15,7.271940000000001,Terminal-Bench v4.0,39.899,2.992425,SciCode,57.0602,4.279515,50.267700000000005,2,0.0,50.267700000000005,9,4.524093000000001,τ³-Banking,44.3299,1.9948455,GDPval-AA v2,56.2055,2.5292475000000003,32.2857,1,0.0,32.2857,24,7.748568000000001,CritPt,32.2857,7.748568000000001,59.4,1,0.0,59.4,21,12.473999999999998,AA-Omniscience Accuracy,59.4,12.473999999999998,55.6,2,0.0,55.6,31,17.236,AA-LCR v1.1,84.0,13.02,GDP.pdf,27.2,4.215999999999999,49.254601,49.254601,4
claude-opus-5,Claude Opus 5 (max),claude opus 5,0,,8,Terminal-Bench v4.0,48.9899,48.9899,52.6778,2,3.73895816933927,56.41675816933927,15,8.46251372540089,Terminal-Bench v4.0,48.9899,3.6742424999999996,SciCode,56.3657,4.2274275,51.9082,2,6.703222959800584,58.611422959800585,9,5.275028066382053,τ³-Banking,42.0619,1.8927855,GDPval-AA v2,61.7545,2.7789525,29.1429,1,0.0,29.1429,24,6.994296,CritPt,29.1429,6.994296,60.8667,1,0.0,60.8667,21,12.782007,AA-Omniscience Accuracy,60.8667,12.782007,50.46665,2,0.0,50.46665,31,15.6446615,AA-LCR v1.1,79.3333,12.2966615,GDP.pdf,21.6,3.3480000000000003,47.9943725,49.15850629178294,5
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,0,,8,Terminal-Bench v4.0,35.3535,35.3535,45.1652,2,0.0,45.1652,15,6.77478,Terminal-Bench v4.0,35.3535,2.6515125,SciCode,54.9769,4.1232675,44.527100000000004,2,0.0,44.527100000000004,9,4.007439000000001,τ³-Banking,40.2062,1.8092790000000003,GDPval-AA v2,48.848,2.19816,30.0,1,0.0,30.0,24,7.2,CritPt,30.0,7.2,46.8,1,0.0,46.8,21,9.828,AA-Omniscience Accuracy,46.8,9.828,53.5,2,0.0,53.5,31,16.585,AA-LCR v1.1,83.0,12.865,GDP.pdf,24.0,3.72,44.395219,44.395219,6
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,0,,8,Terminal-Bench v4.0,14.6465,14.6465,35.21675,2,0.0,35.21675,15,5.282512499999999,Terminal-Bench v4.0,14.6465,1.0984875,SciCode,55.787,4.184025,41.880799999999994,2,0.04789133007693636,41.92869133007693,9,3.773582219706924,τ³-Banking,38.9691,1.7536095,GDPval-AA v2,44.7925,2.0156625,27.1429,1,0.0,27.1429,24,6.514296000000001,CritPt,27.1429,6.514296000000001,57.95,1,0.0,57.95,21,12.169500000000001,AA-Omniscience Accuracy,57.95,12.169500000000001,52.76665,2,0.0,52.76665,31,16.3576615,AA-LCR v1.1,84.3333,13.0716615,GDP.pdf,21.2,3.2859999999999996,44.093242,44.09755221970693,7
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,0,,8,Terminal-Bench v4.0,33.3333,33.3333,46.064800000000005,2,0.0,46.064800000000005,15,6.909720000000001,Terminal-Bench v4.0,33.3333,2.4999975,SciCode,58.7963,4.4097225,55.34125,2,0.0,55.34125,9,4.9807125,τ³-Banking,50.5155,2.2731975,GDPval-AA v2,60.167,2.7075150000000003,24.8571,1,0.0,24.8571,24,5.965704,CritPt,24.8571,5.965704,43.5833,1,0.0,43.5833,21,9.152493,AA-Omniscience Accuracy,43.5833,9.152493,54.8,2,0.0,54.8,31,16.988,AA-LCR v1.1,83.0,12.865,GDP.pdf,26.6,4.123,43.9966295,43.9966295,8
kimi-k3,Kimi K3 (max),kimi k3,0,,8,Terminal-Bench v4.0,12.6263,12.6263,36.058499999999995,2,0.0,36.058499999999995,15,5.4087749999999994,Terminal-Bench v4.0,12.6263,0.9469725,SciCode,59.4907,4.4618025,50.07795,2,0.0,50.07795,9,4.5070155,τ³-Banking,45.9794,2.069073,GDPval-AA v2,54.1765,2.4379424999999997,23.4286,1,0.0,23.4286,24,5.622864,CritPt,23.4286,5.622864,47.5833,1,0.0,47.5833,21,9.992493000000001,AA-Omniscience Accuracy,47.5833,9.992493000000001,55.33335,2,0.0,55.33335,31,17.1533385,AA-LCR v1.1,88.6667,13.7433385,GDP.pdf,22.0,3.41,42.684486,42.684486,9
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,0,,8,Terminal-Bench v4.0,19.697,19.697,38.1471,2,0.0,38.1471,15,5.722065,Terminal-Bench v4.0,19.697,1.477275,SciCode,56.5972,4.24479,46.569500000000005,2,0.0,46.569500000000005,9,4.191255000000001,τ³-Banking,44.9485,2.0226825,GDPval-AA v2,48.1905,2.1685725,18.2857,1,0.0,18.2857,24,4.388567999999999,CritPt,18.2857,4.388567999999999,54.6,1,0.015296283174834004,54.615296283174835,21,11.469212219466716,AA-Omniscience Accuracy,54.6,11.466000000000001,51.16665,2,0.0,51.16665,31,15.8616615,AA-LCR v1.1,81.3333,12.6066615,GDP.pdf,21.0,3.255,41.6295495,41.632761719466714,10
