slug,model,variant_group,missing_core_count,missing_core_items,items_total,terminal_source,terminal_raw,terminal_effective,coding_core,coding_core_count,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,coding_item2,coding_item2_adjusted,coding_item2_base_points,agentic-tool-work_core,agentic-tool-work_core_count,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_core_count,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,knowledge-science_core,knowledge-science_core_count,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,knowledge-science_item2,knowledge-science_item2_adjusted,knowledge-science_item2_base_points,instruction-context_core,instruction-context_core_count,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,core_only_score,score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,0,,8,Terminal-Bench v4.0,52.0202,52.0202,57.54945,2,2.3620320052452115,59.91148200524521,11,6.590263020576973,Terminal-Bench v4.0,52.0202,2.861111,SciCode,63.0787,3.4693284999999996,55.199250000000006,2,7.054783171727888,62.2540331717279,9,5.602862985455511,τ³-Banking,47.2165,2.1247425,GDPval-AA v2,63.182,2.8431900000000003,29.7143,1,0.0,29.7143,21,6.240003000000001,CritPt,29.7143,6.240003000000001,46.71665,2,0.0,46.71665,39,18.219493500000002,AA-Omniscience Accuracy,67.2333,13.1104935,GDP.pdf,26.2,5.109,85.3333,1,0.0,85.3333,20,17.06666,AA-LCR v1.1,85.3333,17.06666,52.8245285,53.719282506032485,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,0,,8,Terminal-Bench v4.0,59.0909,59.0909,57.786199999999994,2,0.0,57.786199999999994,11,6.356482,Terminal-Bench v4.0,59.0909,3.2499995,SciCode,56.4815,3.1064825,47.72665,2,0.0,47.72665,9,4.2953985,τ³-Banking,41.4433,1.8649485000000001,GDPval-AA v2,54.01,2.43045,31.7143,1,0.0,31.7143,21,6.660003000000001,CritPt,31.7143,6.660003000000001,46.8,2,0.0,46.8,39,18.252,AA-Omniscience Accuracy,62.6,12.207,GDP.pdf,31.0,6.045,80.6667,1,0.0,80.6667,20,16.13334,AA-LCR v1.1,80.6667,16.13334,51.6972235,51.6972235,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,0,,8,Terminal-Bench v4.0,42.4242,42.4242,51.7098,2,5.20995557819316,56.91975557819316,11,6.261173113601248,Terminal-Bench v4.0,42.4242,2.333331,SciCode,60.9954,3.3547469999999997,47.35865,2,9.844454650564842,57.20310465056484,9,5.148279418550835,τ³-Banking,38.1443,1.7164935,GDPval-AA v2,56.573,2.545785,28.5714,1,0.0,28.5714,21,5.999994,CritPt,28.5714,5.999994,44.675,2,0.0,44.675,39,17.42325,AA-Omniscience Accuracy,65.35,12.743249999999998,GDP.pdf,24.0,4.68,82.3333,1,0.0,82.3333,20,16.46666,AA-LCR v1.1,82.3333,16.46666,49.8402605,51.29935653215208,3
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,0,,8,Terminal-Bench v4.0,39.899,39.899,48.479600000000005,2,0.0,48.479600000000005,11,5.332756000000001,Terminal-Bench v4.0,39.899,2.194445,SciCode,57.0602,3.138311,50.267700000000005,2,0.0,50.267700000000005,9,4.524093000000001,τ³-Banking,44.3299,1.9948455,GDPval-AA v2,56.2055,2.5292475000000003,32.2857,1,0.0,32.2857,21,6.779997,CritPt,32.2857,6.779997,43.3,2,0.0,43.3,39,16.886999999999997,AA-Omniscience Accuracy,59.4,11.583,GDP.pdf,27.2,5.303999999999999,84.0,1,0.0,84.0,20,16.8,AA-LCR v1.1,84.0,16.8,50.323845999999996,50.323845999999996,4
claude-opus-5,Claude Opus 5 (max),claude opus 5,0,,8,Terminal-Bench v4.0,48.9899,48.9899,52.6778,2,3.73895816933927,56.41675816933927,11,6.205843398627319,Terminal-Bench v4.0,48.9899,2.6944445000000004,SciCode,56.3657,3.1001135,51.9082,2,6.703222959800584,58.611422959800585,9,5.275028066382053,τ³-Banking,42.0619,1.8927855,GDPval-AA v2,61.7545,2.7789525,29.1429,1,0.0,29.1429,21,6.120009,CritPt,29.1429,6.120009,41.23335,2,0.0,41.23335,39,16.0810065,AA-Omniscience Accuracy,60.8667,11.869006500000001,GDP.pdf,21.6,4.212000000000001,79.3333,1,0.0,79.3333,20,15.86666,AA-LCR v1.1,79.3333,15.86666,48.5339715,49.54854696500937,5
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,0,,8,Terminal-Bench v4.0,35.3535,35.3535,45.1652,2,0.0,45.1652,11,4.968171999999999,Terminal-Bench v4.0,35.3535,1.9444424999999999,SciCode,54.9769,3.0237295,44.527100000000004,2,0.0,44.527100000000004,9,4.007439000000001,τ³-Banking,40.2062,1.8092790000000003,GDPval-AA v2,48.848,2.19816,30.0,1,0.0,30.0,21,6.3,CritPt,30.0,6.3,35.4,2,0.0,35.4,39,13.806,AA-Omniscience Accuracy,46.8,9.126,GDP.pdf,24.0,4.68,83.0,1,0.0,83.0,20,16.6,AA-LCR v1.1,83.0,16.6,45.681611000000004,45.681611000000004,6
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,0,,8,Terminal-Bench v4.0,14.6465,14.6465,35.21675,2,0.0,35.21675,11,3.8738424999999994,Terminal-Bench v4.0,14.6465,0.8055575,SciCode,55.787,3.0682850000000004,41.880799999999994,2,0.04789133007693636,41.92869133007693,9,3.773582219706924,τ³-Banking,38.9691,1.7536095,GDPval-AA v2,44.7925,2.0156625,27.1429,1,0.0,27.1429,21,5.700009,CritPt,27.1429,5.700009,39.575,2,0.0,39.575,39,15.434250000000002,AA-Omniscience Accuracy,57.95,11.30025,GDP.pdf,21.2,4.1339999999999995,84.3333,1,0.0,84.3333,20,16.86666,AA-LCR v1.1,84.3333,16.86666,45.6440335,45.64834371970692,7
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,0,,8,Terminal-Bench v4.0,33.3333,33.3333,46.064800000000005,2,0.0,46.064800000000005,11,5.067128,Terminal-Bench v4.0,33.3333,1.8333315000000001,SciCode,58.7963,3.2337965000000004,55.34125,2,0.0,55.34125,9,4.9807125,τ³-Banking,50.5155,2.2731975,GDPval-AA v2,60.167,2.7075150000000003,24.8571,1,0.0,24.8571,21,5.219991,CritPt,24.8571,5.219991,35.09165,2,0.0,35.09165,39,13.685743500000001,AA-Omniscience Accuracy,43.5833,8.4987435,GDP.pdf,26.6,5.187,83.0,1,0.0,83.0,20,16.6,AA-LCR v1.1,83.0,16.6,45.553575,45.553575,8
kimi-k3,Kimi K3 (max),kimi k3,0,,8,Terminal-Bench v4.0,12.6263,12.6263,36.058499999999995,2,0.0,36.058499999999995,11,3.9664349999999997,Terminal-Bench v4.0,12.6263,0.6944465,SciCode,59.4907,3.2719885,50.07795,2,0.0,50.07795,9,4.5070155,τ³-Banking,45.9794,2.069073,GDPval-AA v2,54.1765,2.4379424999999997,23.4286,1,0.0,23.4286,21,4.920006,CritPt,23.4286,4.920006,34.791650000000004,2,0.0,34.791650000000004,39,13.5687435,AA-Omniscience Accuracy,47.5833,9.278743500000001,GDP.pdf,22.0,4.29,88.6667,1,0.0,88.6667,20,17.733340000000002,AA-LCR v1.1,88.6667,17.733340000000002,44.69554,44.69554,9
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,0,,8,Terminal-Bench v4.0,19.697,19.697,38.1471,2,0.0,38.1471,11,4.196181,Terminal-Bench v4.0,19.697,1.083335,SciCode,56.5972,3.1128460000000002,46.569500000000005,2,0.0,46.569500000000005,9,4.191255000000001,τ³-Banking,44.9485,2.0226825,GDPval-AA v2,48.1905,2.1685725,18.2857,1,0.0,18.2857,21,3.8399969999999994,CritPt,18.2857,3.8399969999999994,37.8,2,0.0,37.8,39,14.741999999999997,AA-Omniscience Accuracy,54.6,10.647,GDP.pdf,21.0,4.095,81.3333,1,0.0,81.3333,20,16.266659999999998,AA-LCR v1.1,81.3333,16.266659999999998,43.236093,43.236093,10
