slug,model,variant_group,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,instruction-context_core,instruction-context_bonus,instruction-context_score,score,core_only_score,rank,equal_board_score
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,Terminal-Bench v4.0,52.0202,52.0202,52.0202,3.3005712300467422,55.320771230046745,52.948297256380215,8.70900647130818,61.657303727688394,52.776332051592966,0.0,52.776332051592966,67.2333,0.0,67.2333,85.3333,0.0,85.3333,64.9326058814406,62.86074746417428,1,64.46420140186562
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,Terminal-Bench v4.0,59.0909,59.0909,59.090900000000005,0.0,59.090900000000005,53.27778214800237,0.0,53.27778214800237,55.19506034583167,0.0,55.19506034583167,62.6,0.0,62.6,80.6667,0.0,80.6667,62.146751516058394,62.146751516058394,2,62.16608849876681
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,Terminal-Bench v4.0,42.4242,42.4242,42.4242,6.1942791746735395,48.61847917467354,45.41488620034185,10.664875920317172,56.07976212065902,51.443785512149084,0.0,51.443785512149084,65.35,0.0,65.35,82.3333,0.0,82.3333,61.74290671963643,58.99050361810564,3,60.76506536149632
claude-opus-5,Claude Opus 5 (max),claude opus 5,Terminal-Bench v4.0,48.9899,48.9899,48.9899,2.5933143714184297,51.58321437141843,48.781073233786074,8.442754428030625,57.2238276618167,52.12542177930074,0.0,52.12542177930074,60.86670000000001,0.0,60.86670000000001,79.3333,0.0,79.3333,60.71777741433037,58.769895091582406,4,60.22649276250718
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,Terminal-Bench v4.0,39.899,39.899,39.899,0.0,39.899,51.60803382119881,0.0,51.60803382119881,55.13094410564724,0.0,55.13094410564724,59.4,0.0,59.4,84.0,0.0,84.0,59.74424279065157,59.74424279065157,5,58.0075955853692
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,Terminal-Bench v4.0,35.3535,35.3535,35.3535,0.0,35.3535,48.97243949406646,0.0,48.97243949406646,52.6854723809135,0.0,52.6854723809135,46.8,0.17718217985847673,46.977182179858474,83.0,0.0,83.0,54.84550153900629,54.80120599404167,6,53.39771881096769
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,Terminal-Bench v4.0,14.6465,14.6465,14.646499999999998,0.0,14.646499999999998,42.93322502980646,0.0,42.93322502980646,50.386724527994474,0.0,50.386724527994474,57.95,0.0,57.95,84.3333,0.0,84.3333,54.00213613795991,54.00213613795991,7,50.04994991156018
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,Terminal-Bench v4.0,33.3333,33.3333,33.3333,0.0,33.3333,54.06009089615,0.0,54.06009089615,48.21844866168964,0.0,48.21844866168964,43.5833,0.0,43.5833,83.0,0.0,83.0,53.695785344652414,53.695785344652414,8,52.43902791156793
kimi-k3,Kimi K3 (max),kimi k3,Terminal-Bench v4.0,12.6263,12.6263,12.626299999999999,0.0,12.626299999999999,51.76251130113376,0.0,51.76251130113376,46.81242861078669,0.0,46.81242861078669,47.5833,0.0,47.5833,88.6667,0.0,88.6667,52.947404412923426,52.947404412923426,9,49.49024798238409
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,Terminal-Bench v4.0,19.697,19.697,19.697,0.0,19.697,51.90152309759319,0.0,51.90152309759319,41.73438197996946,0.0,41.73438197996946,54.6,0.10441860178303841,54.70441860178304,81.3333,0.0,81.3333,52.72636476495676,52.700260114511,10,49.87412473586913
glm-5-3,GLM-5.3 (max),glm 5 3,Terminal-Bench v4.0,41.9192,41.9192,41.9192,0.0,41.9192,55.940900573462336,1.8702691546570094,57.811169728119346,41.90146999664809,0.0,41.90146999664809,33.85,0.0,33.85,79.6667,0.0,79.6667,50.625361444785895,50.25130761385449,11,51.02970794495349
grok-4-6-xhigh,Grok 4.6 (xhigh),grok 4 6,Terminal-Bench v4.0,17.1717,17.1717,17.1717,0.0,17.1717,53.86019330266092,0.0,53.86019330266092,42.94164570926457,0.0,42.94164570926457,43.0,0.0,43.0,81.0,0.0,81.0,50.174620087848325,50.174620087848325,12,47.5947078023851
gemini-3-7-flash,Gemini 3.7 Flash (high),gemini 3 7 flash,Terminal-Bench v4.0,13.6364,13.6364,13.636400000000004,0.0,13.636400000000004,45.09410766663423,0.0,45.09410766663423,36.75117208130919,0.0,36.75117208130919,55.3167,0.0,55.3167,81.6667,0.0,81.6667,49.732769553654144,49.732769553654144,13,46.49301594958868
deepseek-v4-pro,DeepSeek V4 Pro 0813 (max),deepseek v4 pro 0813,Terminal-Bench v4.0,14.1414,14.1414,14.141400000000004,0.0,14.141400000000004,47.382276168626596,1.4061320729159235,48.78840824154252,40.87675867776211,0.0,40.87675867776211,49.1,0.0,49.1,80.3333,0.0,80.3333,49.73267131774903,49.45144490316585,14,46.64797338386093
grok-4-5,Grok 4.5 (high),grok 4 5,Terminal-Bench v4.0,10.6061,10.6061,10.606100000000003,0.0,10.606100000000003,49.36448085729253,0.0,49.36448085729253,37.90627355966292,0.0,37.90627355966292,51.55,0.0,51.55,79.3333,0.0,79.3333,49.164234561374236,49.164234561374236,15,45.752030883391086
qwen3-8-max,Qwen3.8 Max,qwen3 8 max,Terminal-Bench v4.0,18.6869,18.6869,18.6869,0.0,18.6869,50.27510179422813,0.0,50.27510179422813,43.064440086920904,0.0,43.064440086920904,31.85,11.352304037836376,43.20230403783638,78.3333,0.0,78.3333,49.157056390034946,46.31898038057585,16,46.71240918379708
claude-opus-4-8,Claude Opus 4.8 (max),claude opus 4 8,Terminal-Bench v4.0,21.7172,21.7172,21.717199999999995,0.0,21.717199999999995,39.503369262886935,0.0,39.503369262886935,43.80952537314231,0.0,43.80952537314231,48.8333,0.0,48.8333,77.6667,0.0,77.6667,48.76644019586296,48.76644019586296,17,46.30601892720585
gemini-3-1-pro-preview,Gemini 3.1 Pro Preview,gemini 3 1 pro preview,Terminal-Bench v4.0,4.0404,4.0404,4.0404,0.0,4.0404,27.562416429079654,9.837459983421587,37.39987641250124,40.83685837598187,0.0,40.83685837598187,54.85,0.0,54.85,82.0,0.0,82.0,48.20572987649572,46.2382378798114,18,43.82542695769662
gpt-5-6-luna,GPT-5.6 Luna (max),gpt 5 6 luna,Terminal-Bench v4.0,11.6162,11.6162,11.616199999999996,2.03714644833574,13.653346448335736,39.537255246159916,0.0,39.537255246159916,43.29298883814791,0.0,43.29298883814791,42.7333,0.6380750969045437,43.37137509690454,83.6667,0.0,83.6667,47.67221667782867,47.30898325876896,19,44.70433312590963
gemini-3-5-flash,Gemini 3.5 Flash,gemini 3 5 flash,Terminal-Bench v4.0,6.5657,6.5657,6.5657,0.0,6.5657,36.78979943584906,13.066469091769832,49.856268527618894,34.814754808557815,0.0,34.814754808557815,51.4,0.8205831466345046,52.2205831466345,73.3333,0.0,73.3333,47.053318194321854,44.23487858930927,20,43.358121296562246
qwen3-8-2-4t-a95b,Qwen3.8 2.4T A95B,qwen3 8 2 4t a95b,Terminal-Bench v4.0,11.1111,11.1111,11.111100000000002,0.0,11.111100000000002,53.00241374013074,0.0,53.00241374013074,43.251682048216345,0.0,43.251682048216345,31.25,0.0,31.25,80.3333,0.0,80.3333,46.40367326008023,46.40367326008023,21,43.78969915766942
glm-5-3-flash,GLM-5.3-Flash,glm 5 3 flash,Terminal-Bench v4.0,32.8283,32.8283,32.8283,0.0,32.8283,53.38908129852021,0.0,53.38908129852021,37.51366425797406,0.0,37.51366425797406,27.500000000000004,0.0,27.500000000000004,80.0,0.0,80.0,46.214062324197556,46.214062324197556,22,46.24620911129885
deepseek-v4-flash,DeepSeek V4 Flash 0731 (max),deepseek v4 flash 0731,Terminal-Bench v4.0,12.1212,12.1212,12.1212,0.0,12.1212,46.10123187920253,0.0,46.10123187920253,38.791975308560914,0.0,38.791975308560914,40.3833,0.0,40.3833,79.6667,0.0,79.6667,46.15952520298074,46.15952520298074,23,43.41288143755269
muse-spark-1-1,Muse Spark 1.1 (xhigh),muse spark 1 1,Terminal-Bench v4.0,6.0606,6.0606,6.060599999999999,0.0,6.060599999999999,35.12198146659724,0.0,35.12198146659724,36.87549503667713,0.0,36.87549503667713,52.05,0.0,52.05,77.6667,0.0,77.6667,45.39517005248873,45.39517005248873,24,41.554955300654875
muse-spark-1-2,Muse Spark 1.2 (xhigh),muse spark 1 2,Terminal-Bench v4.0,7.0707,7.0707,7.0707,0.0,7.0707,37.61901338897659,0.0,37.61901338897659,40.01804064668834,0.0,40.01804064668834,45.3833,0.0,45.3833,79.0,0.0,79.0,45.3812078394674,45.3812078394674,25,41.818210807132985
claude-sonnet-5,Claude Sonnet 5 (max),claude sonnet 5,Terminal-Bench v4.0,14.1414,14.1414,14.141400000000004,0.0,14.141400000000004,36.913945317725116,0.0,36.913945317725116,39.190163610401015,0.0,39.190163610401015,40.05,1.0816448916545056,41.1316448916545,82.0,0.0,82.0,45.2773811890589,45.00696996614528,26,42.67543076395613
gemini-3-6-flash,Gemini 3.6 Flash,gemini 3 6 flash,Terminal-Bench v4.0,7.0707,7.0707,7.0707,0.0,7.0707,39.812497764269956,0.0,39.812497764269956,31.326108769204,0.0,31.326108769204,49.9667,0.6963042910518594,50.66300429105186,80.0,0.0,80.0,45.166847817917954,44.99277174515499,27,41.77446216490516
qwen3-8-flash-next,Qwen3.8-Flash-Next,qwen3 8 flash next,Terminal-Bench v2.1,86.1423,16.08508132022563,16.085081320225633,0.0,16.085081320225633,50.359162171743876,0.0,50.359162171743876,32.074104590463634,0.0,32.074104590463634,24.5,13.507410101792061,38.00741010179206,79.6667,0.0,79.6667,45.13405923943527,41.75720671398725,28,43.23849163684504
deepseek-v4-flash-vision,DeepSeek V4 Flash Vision (max),deepseek v4 flash vision,Terminal-Bench v4.0,12.1212,12.1212,12.1212,0.0,12.1212,44.1335898246449,0.0,44.1335898246449,31.486432919751323,0.0,31.486432919751323,38.5667,0.0,38.5667,81.3333,0.0,81.3333,43.81878119486681,43.81878119486681,29,41.52824454887924
deepseek-v4-pro-0424,DeepSeek V4 Pro (max),deepseek v4 pro,Terminal-Bench v4.0,14.6465,14.6465,14.646499999999998,0.0,14.646499999999998,41.16423773216261,0.0,41.16423773216261,33.786904402297644,0.0,33.786904402297644,42.95,0.0,42.95,74.6667,0.0,74.6667,43.81506364700694,43.81506364700694,30,41.44286842689205
