method,method_label,method_scope,rank,model,creator,slug,variant_group,evidence_tier,score,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score,evidence_rank,rank_change_due_to_required_order,publication_order_rule,required_order_target
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,1,Claude Fable 5 (with fallback),Anthropic,claude-fable-5,claude fable 5 with fallback,Main,94.4925,18,25,3,0,4,97.13,10,86.366,3,98.757,4,99.233,4,90.976,6,5,fable5_first_gpt56sol_second_v1,fable_5
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,2,GPT-5.6 Sol (xhigh),OpenAI,gpt-5-6-sol-xhigh,gpt 5 6 sol,Provisional,97.0362,9,15,2,2,2,98.825,2,96.574,3,98.724,5,98.202,3,92.857,2,0,fable5_first_gpt56sol_second_v1,gpt_5_6_sol
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,3,Claude Opus 5 (max),Anthropic,claude-opus-5,claude opus 5,Provisional,97.8188,13,20,2,1,5,97.857,5,96.851,3,99.312,5,99.099,2,95.975,1,-2,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,4,Muse Spark 1.2 (xhigh),Meta,muse-spark-1-2,muse spark 1 2,Provisional,95.1713,7,13,2,3,2,93.706,2,94.334,3,95.343,4,95.112,2,97.362,3,-1,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,5,GPT-5.5 (high),OpenAI,gpt-5-5-high,gpt 5 5,Provisional,95.0203,9,15,2,2,2,92.852,2,92.852,3,97.883,5,97.047,3,94.467,4,-1,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,6,Kimi K3 (max),Kimi,kimi-k3,kimi k3,Provisional,94.7794,15,21,2,1,2,97.233,8,92.769,3,98.196,5,96.458,3,89.241,5,-1,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,7,Muse Spark 1.1 (xhigh),Meta,muse-spark-1-1,muse spark 1 1,Provisional,94.43,7,13,2,3,2,92.33,2,92.39,3,94.626,4,96.455,2,96.348,7,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,8,Gemini 3.5 Flash,Google,gemini-3-5-flash,gemini 3 5 flash,Provisional,94.3513,9,15,2,2,2,91.183,2,93.223,3,95.153,5,96.52,3,95.678,8,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,9,Grok 4.5 (high),SpaceXAI,grok-4-5,grok 4 5,Provisional,93.1455,9,16,2,1,3,92.401,3,90.115,3,96.068,5,95.626,2,91.518,9,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,10,Qwen3.8 Max,Alibaba,qwen3-8-max,qwen3 8 max,Main,92.5389,14,21,3,0,3,92.492,7,89.663,3,96.596,5,92.878,3,91.065,10,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,11,GPT-5.6 Terra (xhigh),OpenAI,gpt-5-6-terra-xhigh,gpt 5 6 terra,Provisional,91.8817,9,15,2,2,2,91.305,2,90.167,3,95.95,5,92.644,3,89.343,11,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,12,Claude Sonnet 5 (max),Anthropic,claude-sonnet-5,claude sonnet 5,Provisional,90.2932,12,19,2,1,3,88.404,6,82.749,3,94.733,5,90.753,2,94.827,12,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,13,GPT-5.6 Luna (xhigh),OpenAI,gpt-5-6-luna-xhigh,gpt 5 6 luna,Provisional,89.9348,8,14,2,3,2,88.299,2,86.783,3,92.898,5,89.713,2,91.981,13,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,14,DeepSeek V4 Flash 0731 (max),DeepSeek,deepseek-v4-flash,deepseek v4 flash 0731,Provisional,89.6441,9,15,2,2,2,88.963,4,82.383,3,93.659,4,91.176,2,92.04,14,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,15,Kimi K2.6,Kimi,kimi-k2-6,kimi k2 6,Provisional,88.9995,9,15,2,2,2,85.706,2,85.108,3,91.651,5,90.162,3,92.371,15,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,16,Muse Spark,Meta,muse-spark,muse spark,Provisional,88.6924,9,15,2,2,2,82.212,2,83.164,3,91.594,5,92.702,3,93.789,16,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,17,Claude Opus 4.8 (max),Anthropic,claude-opus-4-8,claude opus 4 8,Main,88.6447,16,23,3,0,3,94.588,9,82.061,3,97.002,4,96.118,4,73.455,17,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,18,Gemini 3.6 Flash,Google,gemini-3-6-flash,gemini 3 6 flash,Main,86.802,12,19,3,0,3,81.985,5,72.454,3,94.455,5,95.868,3,89.248,18,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,19,Qwen3.7 Max,Alibaba,qwen3-7-max,qwen3 7 max,Main,86.7095,11,18,3,0,3,80.998,5,74.048,3,94.593,4,89.858,3,94.051,19,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,20,GPT-5.4 (xhigh),OpenAI,gpt-5-4,gpt 5 4,Main,86.3008,13,20,3,0,3,80.082,6,65.474,3,96.819,5,94.132,3,94.998,20,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,21,MiMo-V2.5-Pro,Xiaomi,mimo-v2-5-pro,mimo v2 5 pro,Provisional,85.719,8,14,2,2,2,83.18,2,85.314,3,86.4,4,81.427,3,92.274,21,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,22,Claude Opus 4.7 (max),Anthropic,claude-opus-4-7,claude opus 4 7,Main,85.2761,16,23,3,0,4,91.653,7,71.565,3,94.369,5,93.746,4,75.047,22,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,23,Nex-N2-Pro,Nex AGI,nex-n2-pro,nex n2 pro,Provisional,84.7636,8,14,2,2,2,77.359,2,85.344,3,89.688,4,84.812,3,86.615,23,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,24,Kimi K2.7 Code,Kimi,kimi-k2-7-code,kimi k2 7 code,Provisional,84.519,9,15,2,1,2,82.527,3,74.69,3,90.986,4,89.126,3,85.266,24,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,25,Gemini 3.1 Pro Preview,Google,gemini-3-1-pro-preview,gemini 3 1 pro preview,Main,83.7845,16,23,3,0,4,73.798,8,53.044,3,97.705,5,98.234,3,96.142,25,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,26,GLM-5.2 (max),Z AI,glm-5-2,glm 5 2,Main,83.6274,14,21,3,0,3,84.116,8,60.36,3,94.065,4,85.802,3,93.795,26,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,27,Claude Sonnet 4.6 (max),Anthropic,claude-sonnet-4-6-adaptive,claude sonnet 4 6,Provisional,83.3234,9,15,2,2,2,82.958,2,84.51,3,86.054,5,83.802,3,79.293,27,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,28,Motif 3 (Beta),Motif Technologies,motif-0714,motif 3 beta,Provisional,82.9111,7,13,2,3,2,80.969,2,80.797,3,88.877,4,79.451,2,84.461,28,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,29,GPT-5.4 mini (xhigh),OpenAI,gpt-5-4-mini,gpt 5 4 mini,Provisional,82.8141,9,15,2,2,2,78.134,2,76.221,3,87.597,5,82.84,3,89.279,29,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,30,Qwen3.7 Plus,Alibaba,qwen3-7-plus,qwen3 7 plus,Provisional,82.4589,9,15,2,2,2,76.213,2,73.155,3,91.166,5,83.638,3,88.124,30,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,31,Grok Build 0.1 0616,SpaceXAI,grok-build-0-1-06-16,grok build 0 1 0616,Provisional,82.3244,8,14,2,3,2,75.56,2,69.772,3,91.08,5,90.318,2,84.892,31,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,32,MiniMax-M3,MiniMax,minimax-m3,minimax m3,Main,81.9203,12,19,3,0,3,76.058,5,69.545,3,91.19,5,79.231,3,93.578,32,0,fable5_first_gpt56sol_second_v1,
percentile_mean_equal_board,Equal item-percentile mean within board; five boards equal,primary,33,GPT-5.1 (high),OpenAI,gpt-5-1,gpt 5 1,Provisional,81.5497,10,16,2,2,2,70.393,2,77.086,4,87.89,5,82.906,3,89.473,33,0,fable5_first_gpt56sol_second_v1,
