method,method_label,method_scope,rank,model,creator,slug,variant_group,evidence_tier,score,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score,evidence_rank,rank_change_due_to_required_order,publication_order_rule,required_order_target
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,1,Claude Fable 5 (with fallback),Anthropic,claude-fable-5,claude fable 5 with fallback,Main,96.5589,14,21,3,0,4,98.114,7,91.227,3,99.164,4,98.858,3,95.432,4,3,fable5_first_gpt56sol_second_v1,fable_5
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,2,GPT-5.6 Sol (xhigh),OpenAI,gpt-5-6-sol-xhigh,gpt 5 6 sol,Provisional,96.7259,9,15,2,2,2,97.935,2,92.931,3,98.966,5,97.511,3,96.286,3,1,fable5_first_gpt56sol_second_v1,gpt_5_6_sol
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,3,Claude Opus 5 (max),Anthropic,claude-opus-5,claude opus 5,Provisional,97.6661,12,19,2,1,4,98.501,5,93.513,3,99.231,5,98.166,2,98.92,1,-2,fable5_first_gpt56sol_second_v1,
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,4,Kimi K3 (max),Kimi,kimi-k3,kimi k3,Provisional,96.7852,12,18,2,2,2,97.135,6,92.107,3,98.761,5,96.846,2,99.076,2,-2,fable5_first_gpt56sol_second_v1,
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,5,Muse Spark 1.2 (xhigh),Meta,muse-spark-1-2,muse spark 1 2,Provisional,95.9789,7,13,2,3,2,95.529,2,91.771,3,97.619,4,96.296,2,98.68,5,0,fable5_first_gpt56sol_second_v1,
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,6,Muse Spark 1.1 (xhigh),Meta,muse-spark-1-1,muse spark 1 1,Provisional,95.6303,7,13,2,3,2,95.259,2,90.634,3,97.191,4,96.966,2,98.102,6,0,fable5_first_gpt56sol_second_v1,
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,7,GPT-5.5 (high),OpenAI,gpt-5-5-high,gpt 5 5,Provisional,95.5678,9,15,2,2,2,95.235,2,90.38,3,98.745,5,97.135,3,96.345,7,0,fable5_first_gpt56sol_second_v1,
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,8,GPT-5.6 Terra (max),OpenAI,gpt-5-6-terra,gpt 5 6 terra,Main,95.5466,12,19,3,0,3,95.799,5,90.401,3,98.781,5,95.853,3,96.899,8,0,fable5_first_gpt56sol_second_v1,
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,9,Qwen3.8 Max,Alibaba,qwen3-8-max,qwen3 8 max,Provisional,95.0499,11,18,2,1,3,94.638,5,89.865,3,98.179,5,94.617,2,97.95,9,0,fable5_first_gpt56sol_second_v1,
rasch_dense_item_sensitivity,1PL/Rasch sensitivity using benchmark items seen for at least 20 models,sensitivity_item_min_20,10,Grok 4.5 (high),SpaceXAI,grok-4-5,grok 4 5,Provisional,94.9394,9,16,2,1,3,94.422,3,89.048,3,97.766,5,96.364,2,97.098,10,0,fable5_first_gpt56sol_second_v1,
